answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,"
B",True,9.417357099999208,1021,3,0
A,"
C",True,1.5754162999946857,900,3,0
A,"
A",True,0.6949899000028381,955,3,0
A,"
B",True,0.7206102999916766,876,3,0
C,"
C",True,0.6346946000121534,836,3,0
C,"
B",True,0.6252416000061203,880,3,0
A,"
A",True,1.4112774999957765,1015,3,0
D,"
C",True,0.724485899991123,983,3,0
B,"
B",True,1.8022120000096038,949,3,0
A,"
A",True,0.6609113000013167,1004,3,0
B,"
D
",True,1.4652380000043195,942,4,0
C,"
C",True,0.5969057000038447,897,3,0
C,"
A",True,0.6423301000031643,984,3,0
C,"
A",True,0.7917119999910938,927,3,0
A,"
B",True,0.569827900006203,902,3,0
C,"
C",True,2.14536880000378,883,3,0
C,"
A",True,1.2930469999992056,911,3,0
C,"
B",True,1.6143038000009255,1008,3,0
C,"
B",True,1.591102199992747,886,3,0
C,"
B",True,1.4038451999949757,1002,3,0
D,"
D",True,0.7274776000122074,1122,3,0
B,"
B",True,2.008863700000802,1136,3,0
B,"
B",True,0.8393037999921944,1161,3,0
A,"
C",True,1.4195280999992974,934,3,0
A,"
A",True,1.6368759000033606,964,3,0
C,"
C",True,1.4722019000037108,987,3,0
B,"
B",True,0.7223018000076991,1076,3,0
B,"
A",True,1.2779126000095857,983,3,0
B,"
A",True,1.3516214999981457,973,3,0
D,"
A",True,0.6008138000033796,1006,3,0
A,"
C",True,1.4189299999998184,858,3,0
B,"
D",True,1.4740421999886166,841,3,0
A,"
D",True,0.7479667000006884,885,3,0
A,"
B",True,0.5968951999966521,1045,3,0
B,"
A",True,0.597575699997833,911,3,0
A,"
A",True,0.7633566000004066,954,3,0
C,"
D",True,1.3734147999930428,1038,3,0
D,"
C",True,0.9209086999908322,880,3,0
B,"
A",True,0.6345360000123037,924,3,0
B,"
B",True,1.661738200011314,910,3,0
D,"
D",True,0.7805580999993253,960,3,0
C,"
B",True,1.3705896999890683,1011,3,0
B,"
C",True,0.6055978999938816,960,3,0
D,"
B",True,1.3505363000003854,1047,3,0
B,"
A",True,1.3062520999956178,954,3,0
B,"
B",True,0.6915743999998085,1302,3,0
A,"
D",True,2.3149536000128137,1024,3,0
A,"
A",True,0.6746977000002516,1222,3,0
D,"
D",True,1.5261217999941437,1079,3,0
C,"
C",True,0.5822218999965116,987,3,0
B,"
B",True,0.606097600000794,1052,3,0
D,"
D",True,1.3175689000054263,1104,3,0
D,"
D",True,0.5745475000003353,1102,3,0
A,"
A",True,1.4047890000074403,1309,3,0
C,"
C",True,1.3674889999965671,941,3,0
D,"
C",True,1.6606158000067808,1155,3,0
B,"
D",True,0.8038570000062464,1259,3,0
D,"
D",True,1.4769862000102876,1006,3,0
C,"
A",True,1.502119099997799,1138,3,0
D,"
D",True,0.6220410999958403,1015,3,0
A,"
B",True,1.29197409999324,1078,3,0
C,"
C",True,1.304552599991439,1197,3,0
B,"
B",True,0.5888609999965411,1100,3,0
A,"
B",True,0.6669982000021264,1025,3,0
D,"
A",True,1.2608136000053491,1079,3,0
A,"
B",True,1.5840126999974018,1155,3,0
A,"
A",True,1.5882991999969818,1028,3,0
A,"
C",True,1.3228380999935325,1101,3,0
D,"
D",True,2.3686069999967003,1161,3,0
D,"
C",True,1.3666236999997636,1088,3,0
B,"
B",True,1.4552912999934051,1131,3,0
D,"
C",True,1.7719958999950904,1208,3,0
A,"
D",True,2.185920799995074,1269,3,0
C,"
A",True,0.9254079000093043,890,3,0
D,"
B",True,1.3861315999965882,971,3,0
C,"
C",True,1.6963287999969907,1002,3,0
