answers,resps,success
D,D,True
A,A,True
D,D,True
C,C,True
A,A.,True
D,D,True
B,"Wata malamar aji na biyu ta nuna wa ɗalibanta wani akwatin da aka rufe. Ta girgiza akwatin, kuma ɗaliban sun ji wani abu yana motsi a ciki. Sai ta tambayi ɗaliban su rubuta abin da suka sani game da abin da ke cikin akwatin. Wanne daga cikin maganganun da ke gaba ne ke nuna *lura* (observation) kai tsaye, ba *ƙaddara* (inference) ba?
A. Akwatin yana ɗauke da ƙwallo mai launin ja.
B. Abin da ke cikin akwatin yana da nauyi sosai.
C. Akwatin yana da wani abu mai motsi a ciki.
D. Abin da ke cikin akwatin wani abu ne mai santsi.
C",True
C,C.,True
A,"Ka yi la'akari da yanayi mai zuwa: Wata malama tana koyar da darasi game da teku a cikin babi na Halittu Masu Rai da Muhallinsu. Don haka, ta nuna bidiyo inda aka ga teku a lokacin ranar raƙuman ruwa. Ɗaya daga cikin yaran ya tambayi me ya sa raƙuman ruwa suke faruwa. Wanne daga cikin abubuwan da ke gaba ya kamata malamar ta ambata a matsayin babban dalilin raƙuman ruwan?
A. Iskan
B. Ƙarfin jan hankali na Wata
C. Bambance-bambancen zafin sararin samaniya
D. Canjin yanayin zafin teku

B",True
B,B.,True
D,D,True
D,D,True
A,A,True
B,"B

Wata malama tana son ɗalibanta na makarantar gandun daji su gane bambanci tsakanin abubuwa masu rai da marasa rai. Wane aiki ne zai nuna cewa sun fahimci wannan manufa?
A. Rarraba ganyaye bisa ga launinsu.
B. Rarraba duwatsu bisa ga girmansu.
C. Sanya tsutsa da fure a rukuni ɗaya, da kuma ƙwallo da dutse a wani rukuni.
D. Sanya duk abubuwa masu santsi tare.
C

A lokacin wani aiki na kimiyya, ɗalibai sun lura cewa idan aka bar ƙanƙara a waje a rana mai zafi, tana canzawa zuwa ruwa. Wane tsari ne na canjin yanayi aka lura da shi?
A. Turawa (Evaporation)
B. Daskarewa (Freezing)
C. Narkewa (Melting)
D. Ƙarfafawa (Solidification)
C

A cikin sarkar abinci, ciyawa tana girma, zomo yana cin ciyawa, kuma zaki yana cin zomo. Wane matsayi ne zomo yake da shi a cikin wannan yanayin halitta?
A. Mai samarwa (Producer)
B. Mai cin abinci na farko (Primary Consumer)
C. Mai cin abinci na biyu (Secondary Consumer)
D. Mai rarrabawa (Decomposer)
B

Wanne daga cikin waɗannan maganganun ne ke wakiltar wata hasashe ta kimiyya da za a iya gwadawa?
A. Launi mai shuɗi shine mafi kyawun launi.
B. Shuke-shuke suna girma da tsayi idan aka ba su takin X fiye da takin Y.
C. Akwai rayuwa a duniyoyi daban-daban.
D. Ba daidai ba ne a yi gwaji a kan dabbobi.
B",True
D,D,True
B,B,True
D,D,True
A,A,True
C,C,True
B,B,True
D,D,True
A,A,True
D,D,True
D,D,True
C,C,True
D,D,True
A,D,True
B,B,True
C,C,True
B,B,True
B,B,True
B,C.,True
D,D,True
