answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,12.268076499924064,2767,723,704
A,C,True,11.454805599991232,2923,723,704
D,C,True,12.623902400024235,2999,915,896
C,C,True,5.26194110000506,2519,339,320
A,A,True,16.566547599853948,2814,787,768
D,B,True,25.1054624998942,3256,1235,1216
B,B,True,11.373636299977079,2495,531,512
C,D,True,8.93249320005998,2390,403,384
A,A,True,7.374276499962434,2336,275,256
B,B.,True,7.892983800033107,2397,340,320
D,D,True,11.86067120009102,2638,531,512
D,D,True,10.552401599939913,2447,467,448
A,D,True,11.825252499897033,2809,595,576
B,B,True,12.109823699807748,2563,531,512
D,D,True,14.269405799917877,2814,723,704
B,B,True,11.036709500011057,2565,531,512
D,C,True,21.732046900084242,3327,1235,1216
A,D,True,8.05476970016025,2516,339,320
C,C,True,12.828275700099766,2879,723,704
B,D,True,6.767909599933773,2452,275,256
D,B,True,8.244300599908456,2706,403,384
A,B,True,8.939556600060314,2439,467,448
D,D,True,8.52807360002771,2612,275,256
D,C,True,22.65600630012341,3645,1235,1216
C,C,True,15.956496299942955,2866,723,704
D,D,True,11.916807000059634,2747,595,576
A,A.,True,8.486702600028366,2701,468,448
B,C,True,6.3546406999230385,2667,275,256
C,D,True,8.288795600179583,2624,531,512
B,D,True,10.09975039982237,2606,595,576
B,D,True,15.140450799837708,3123,851,832
B,A,True,20.46754049998708,3675,1555,1536
D,D,True,11.491662600077689,2867,659,640
C,A,True,5.134209899930283,2398,211,192
A,C,True,11.515134799992666,2749,467,448
B,D,True,8.834154000040144,2970,595,576
C,A,True,15.762015099870041,3513,1171,1152
C,C,True,8.901435500010848,2862,659,640
C,D,True,14.046175400028005,3522,1043,1024
B,C,True,7.905868500005454,2810,531,512
D,D,True,7.9157098000869155,3313,403,384
C,C,True,12.487489900086075,2942,851,832
B,B,True,7.899487399961799,2674,595,576
C,A,True,10.797980699921027,2934,659,640
B,D,True,7.507397700101137,2846,467,448
C,D,True,6.663086900021881,2500,275,256
C,C,True,14.48208099999465,3127,851,832
C,B,True,11.833424699958414,2886,531,512
A,B,True,10.12499409983866,2467,531,512
C,C,True,13.47520720004104,2715,723,704
C,B,True,19.78283190005459,3243,1235,1216
A,A,True,18.5199442000594,3445,1235,1216
C,"Ìpinnu: C

Olùkọ́ ọ̀rẹ́,

Mo yan aṣayan C nítorí pé ìṣẹ́ ìparí yìí kì í ṣe àfihàn ìmúlò ìtànná nígbà tó ń ṣàpèjúwe ìdápọ̀ áyọ́nì àti ìdápọ̀ kòfélẹ́ńtì, ṣùgbọ́n ó tún ń jẹ́ kí àwọn akẹ́kọ̀ọ́ ṣètò àti dá mólékúlù méjì sílẹ̀—ọ̀kan pẹ̀lú ìdápọ̀ áyọ́nì, ọ̀kan pẹ̀lú ìdápọ̀ kòfélẹ́ńtì—ní ìbámu pẹ̀lú ìmọ̀ tí wọ́n ti kọ́. Nípasẹ̀ yìí, a lè fìdí múlẹ̀ pé wọ́n lóye bí ìyàtọ̀ láàárin àwọn ìdápọ̀ méjèèjì ṣe wà, àti bí wọ́n ṣe ń ṣẹlẹ̀.

Ẹ ṣé.",True,19.313138599973172,3492,1285,1024
B,B,True,8.678944000042975,2742,467,448
C,D,True,11.622913799947128,2876,659,640
C,C,True,8.86673739994876,2680,403,384
B,B,True,13.976979200029746,3200,851,832
C,B,True,10.488647900056094,2703,595,576
A,A,True,9.548121500061825,2566,595,576
A,C,True,5.759570899885148,2408,275,256
D,D,True,19.141037699999288,3235,1108,1088
D,D,True,10.316945099970326,2583,467,448
C,B,True,17.50140400021337,3227,1107,1088
C,C,True,9.14475329988636,2927,595,576
B,D,True,10.951145800063387,2814,723,704
B,B,True,14.698234299896285,3155,979,960
