answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.885895899962634,1061,2,
D,C,True,1.506567999953404,1090,2,
B,A,True,1.1239099998492748,1108,2,
C,A,True,0.594829399837181,1245,2,
B,A,True,1.203860499896109,1270,2,
C,B,True,1.2044500999618322,1146,2,
C,D,True,0.7248330998700112,1141,2,
D,C,True,0.6293194000609219,1138,2,
C,A,True,1.1330051999539137,1066,2,
B,A,True,1.197345499880612,1151,2,
B,B,True,0.6582216001115739,1087,2,
B,A,True,0.5819806000217795,1120,2,
C,B,True,0.5702696000225842,1134,2,
C,A,True,0.5944083998911083,1154,2,
D,C,True,0.709404099965468,1143,2,
D,A,True,0.5737181000877172,1159,2,
C,C,True,0.6037353000137955,1114,2,
C,D,True,1.2086632999125868,1189,2,
C,D,True,0.7825595999602228,1263,2,
A,B,True,0.7451838999986649,1142,2,
C,B,True,1.2817516000941396,1375,2,
B,A,True,0.6015848000533879,1282,2,
B,A,True,0.5861777001991868,1255,2,
A,C,True,0.5909248001407832,1476,2,
B,B,True,0.5894278001505882,1246,2,
A,A,True,0.5650271000340581,1152,2,
B,C,True,0.6412794999778271,1059,2,
B,A,True,0.6081914000678807,1077,2,
B,D,True,0.5539164999499917,1237,2,
A,C,True,0.6158963001798838,1157,2,
B,A,True,1.1006163000129163,1235,2,
C,B,True,0.6217881999909878,1408,2,
D,A,True,0.5707296000327915,1169,2,
A,B,True,0.5898299999535084,1315,2,
B,D,True,0.5441365998703986,1176,2,
B,B,True,0.6210737000219524,1251,2,
C,B,True,0.6315224000718445,1428,2,
C,A,True,0.5687939000781626,1220,2,
B,C,True,0.5541377000045031,1193,2,
B,B,True,0.5687009999528527,1460,2,
B,A,True,0.6665270000230521,1504,2,
A,A,True,0.6621409000363201,1258,2,
C,B,True,0.6094385001342744,1309,2,
A,A,True,0.5148253000807017,1238,2,
A,A,True,0.5796992001123726,1124,2,
C,A,True,0.8301216000691056,1169,2,
B,A,True,1.1538627000991255,1117,2,
B,B,True,0.5380369001068175,1122,2,
B,D,True,0.5478439999278635,1197,2,
A,A,True,0.9346923001576215,1207,2,
D,B,True,0.6024343001190573,1215,2,
A,C,True,0.5609561000019312,1118,2,
C,B,True,0.6066259001381695,1305,2,
B,B,True,0.5597367000300437,1275,2,
A,B,True,0.6020901000592858,1424,2,
D,B,True,0.5800902000628412,1231,2,
C,C,True,0.6327803998719901,1270,2,
B,D,True,0.5996741000562906,1207,2,
D,B,True,0.6041867998428643,1154,2,
D,B,True,0.5885263998061419,1093,2,
D,B,True,0.5922312000766397,1253,2,
D,B,True,0.5865100999362767,1528,2,
B,C,True,0.6049881000071764,1290,2,
B,B,True,0.6181230000220239,1196,2,
D,A,True,0.583446100121364,1196,2,
B,D,True,0.5886518000625074,1391,2,
C,C,True,0.5386488998774439,1212,2,
D,B,True,0.5782280000858009,1397,2,
D,D,True,0.5993395999539644,1237,2,
C,C,True,0.6568626998923719,1073,2,
D,D,True,0.6053206999786198,1345,2,
B,A,True,0.5948445999529213,1380,2,
D,A,True,0.5760176999028772,1262,2,
C,A,True,0.683360599912703,1144,2,
A,C,True,0.5982324001379311,1115,2,
B,A,True,0.597604300128296,1265,2,
A,A,True,0.5519365998916328,1089,2,
B,B,True,0.5920272001530975,1171,2,
B,A,True,0.5789048001170158,1183,2,
A,C,True,0.6030767001211643,1526,2,
A,B,True,0.5924435001797974,1304,2,
A,B,True,1.1306231000926346,1181,2,
B,B,True,0.6732031998690218,1127,2,
B,B,True,0.5983007999602705,1182,2,
A,B,True,0.732027499936521,1320,2,
A,A,True,0.6136198001913726,1251,2,
C,B,True,0.6958053999114782,1576,2,
A,A,True,0.6591884000226855,1576,2,
B,B,True,0.546725400025025,1255,2,
D,D,True,0.5819885001983494,1204,2,
B,A,True,0.5738007000181824,1911,2,
A,B,True,0.5430686001200229,1329,2,
D,C,True,0.5396316999103874,1230,2,
C,A,True,1.233555099926889,1604,2,
C,A,True,0.5763289998285472,1539,2,
A,B,True,0.6037373999133706,1156,2,
B,D,True,0.6015971000306308,1595,2,
B,B,True,0.5761790999677032,1149,2,
D,A,True,0.5084921999368817,1313,2,
D,B,True,0.6166073000058532,1403,2,
A,A,True,0.5592273001093417,1314,2,
A,D,True,0.6389719001017511,1309,2,
C,A,True,0.638677200069651,1646,2,
D,C,True,0.5357978001702577,1269,2,
B,A,True,0.7495514999609441,1547,2,
D,C,True,0.5737956999801099,1248,2,
A,B,True,0.6148597998544574,1416,2,
C,B,True,0.653217000188306,1371,2,
A,B,True,0.5965059001464397,1208,2,
A,A,True,0.6547095000278205,1689,2,
C,B,True,0.6198750000912696,1581,2,
C,B,True,1.2837656000629067,1304,2,
D,A,True,0.6078210999257863,1178,2,
B,A,True,0.6264619999565184,1503,2,
B,B,True,0.6511475001461804,1553,2,
C,B,True,0.6935581001453102,1544,2,
A,B,True,0.5690688998438418,1305,2,
D,B,True,0.6572468001395464,1523,2,
C,A,True,0.7434097998775542,1338,2,
D,A,True,0.781288999831304,1537,2,
A,B,True,0.6282422000076622,1163,2,
A,A,True,1.2578896000050008,1143,2,
D,C,True,0.6163977000396699,1197,2,
B,B,True,0.577361699892208,1124,2,
B,B,True,0.5471286999527365,1213,2,
C,C,True,0.555267299991101,1042,2,
