answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,5.8775283000431955,1673,2,
A,C,True,1.736658499808982,1862,2,
D,D,True,1.2746808000374585,1711,2,
C,D,True,2.158372600097209,1768,2,
A,D,True,0.8423154000192881,1661,2,
D,B,True,1.3328889000695199,1672,2,
B,C,True,0.5636634998954833,1597,2,
C,B,True,0.551882800180465,1652,2,
A,D,True,1.025241700001061,1684,2,
B,D,True,1.029217700008303,1682,2,
D,B,True,1.1999393000733107,1811,2,
D,B,True,4.213092599995434,1638,2,
A,B,True,0.9654347999021411,1814,2,
B,C,True,0.5268917002249509,1709,2,
D,C,True,0.5965535999275744,2005,2,
B,A,True,0.5318045001477003,1694,2,
D,C,True,0.5315545001067221,1715,2,
A,D,True,0.7712564000394195,1785,2,
C,D,True,0.770356300054118,1748,2,
B,D,True,0.8769570000004023,1793,2,
D,D,True,0.8176307999528944,1861,2,
A,B,True,1.0370206001680344,1641,2,
D,C,True,1.6339412000961602,1916,2,
D,C,True,1.012020600028336,1917,2,
C,D,True,0.5577925001271069,1799,2,
D,B,True,2.0281376000493765,1800,2,
A,B,True,0.9356602998450398,1798,2,
B,B,True,0.5536748000886291,2007,2,
C,D,True,4.062140600057319,1729,2,
B,D,True,2.2398897998500615,1697,2,
B,C,True,0.5051070000045002,1817,2,
B,D,True,0.7166047999635339,1780,2,
D,C,True,0.6764207000378519,1792,2,
C,D,True,0.8733725000638515,1828,2,
A,B,True,0.6006425998639315,1851,2,
B,B,True,0.5545375999063253,1977,2,
C,A,True,7.2560882000252604,1903,2,
C,B,True,1.2836734999436885,1731,2,
C,B,True,0.8235016998369247,2009,2,
B,B,True,0.5166563999373466,1880,2,
D,C,True,1.5865938998758793,2382,2,
C,B,True,0.5939861000515521,1711,2,
B,A,True,0.8350013000890613,1701,2,
C,D,True,1.4313699000049382,1876,2,
B,B,True,1.3329137999098748,1916,2,
C,B,True,1.3362758997827768,1803,2,
C,B,True,0.7104162001051009,1810,2,
C,B,True,0.5675323000177741,1967,2,
A,C,True,1.1475885999388993,1675,2,
C,B,True,0.5164883998222649,1661,2,
C,D,True,1.1484805999789387,1649,2,
A,C,True,7.034621299942955,1754,2,
C,C,True,0.922145799966529,1791,2,
B,B,True,0.9152895000297576,1880,2,
C,B,True,1.8384475999046117,1762,2,
C,C,True,0.8364256999921054,1876,2,
B,B,True,1.310483600012958,1865,2,
C,B,True,0.5358254001475871,1731,2,
A,C,True,0.5262380000203848,1643,2,
A,D,True,1.389806400053203,1752,2,
D,B,True,7.265216100029647,1704,2,
D,B,True,0.7925229000393301,1786,2,
C,B,True,0.7648525000549853,1965,2,
C,B,True,0.9966984000056982,1887,2,
B,B,True,2.169234599918127,1711,2,
B,B,True,0.7446570000611246,1724,2,
A,B,True,1.1991663998924196,1942,2,
B,D,True,0.6261742999777198,1683,2,
B,B,True,1.408494699979201,1924,2,
C,D,True,1.3885880999732763,1883,2,
C,C,True,0.5035465999972075,1878,2,
B,D,True,0.6101964998524636,1809,2,
C,B,True,0.7557867998257279,1876,2,
B,B,True,0.7968842000700533,1990,2,
C,B,True,1.5329281999729574,1884,2,
C,C,True,0.8490216000936925,1794,2,
D,D,True,1.1819650998804718,1692,2,
D,B,True,1.380543899955228,1851,2,
C,B,True,1.389424200169742,1989,2,
A,A,True,1.1007660999894142,1950,2,
A,B,True,1.247345000039786,1832,2,
D,B,True,0.5366768999956548,1949,2,
D,B,True,1.085547000169754,1679,2,
A,B,True,0.6075028998311609,1838,2,
C,D,True,0.9335187999531627,1699,2,
C,C,True,0.9846713999286294,1771,2,
C,D,True,1.9745192001573741,1866,2,
D,C,True,2.8111127000302076,1788,2,
B,C,True,2.169034800026566,1729,2,
C,B,True,1.3524164000991732,1945,2,
C,D,True,4.459926600102335,1839,2,
B,C,True,1.5333670999389142,2110,2,
D,A,True,1.248933999799192,2177,2,
A,C,True,0.5348967998288572,1685,2,
D,C,True,0.6160799998324364,1885,2,
D,B,True,2.0926518000196666,1659,2,
D,D,True,0.7281025999691337,1787,2,
B,D,True,1.335082700010389,2028,2,
D,D,True,1.5507392999716103,1836,2,
B,B,True,0.6901879999786615,1961,2,
A,D,True,0.7320175999775529,1816,2,
A,D,True,0.5261039000470191,1849,2,
A,B,True,0.639325600117445,1928,2,
C,B,True,0.585244599962607,1773,2,
B,C,True,0.5452327998355031,1894,2,
B,B,True,0.7595897000283003,1806,2,
A,D,True,0.8192998999729753,1800,2,
D,B,True,1.1010165000334382,1949,2,
D,B,True,1.3844365999102592,1985,2,
A,B,True,0.5305047000292689,1717,2,
B,D,True,1.3430540999397635,1712,2,
B,A,True,0.862296000123024,1765,2,
A,D,True,1.1742839999496937,1912,2,
B,C,True,1.348064700141549,1830,2,
D,B,True,0.6082982998341322,1868,2,
C,B,True,0.5278918999247253,1972,2,
B,B,True,0.7699331000912935,1885,2,
B,B,True,0.809417299926281,1887,2,
B,C,True,0.7178557999432087,1656,2,
C,B,True,1.2099473997950554,1889,2,
C,D,True,0.5339187998324633,1760,2,
D,D,True,0.7110619000159204,1814,2,
B,B,True,1.6087462999857962,1744,2,
C,B,True,0.5522488001734018,1847,2,
A,D,True,0.5911573001649231,1571,2,
B,D,True,1.807962599908933,1861,2,
A,B,True,0.5962634000461549,2020,2,
A,C,True,1.7049509000498801,2160,2,
C,D,True,1.2115444999653846,1917,2,
A,B,True,0.820130999898538,1961,2,
D,C,True,1.3071223001461476,2006,2,
C,C,True,0.7805747000966221,2033,2,
B,B,True,0.5546330998186022,1735,2,
D,C,True,0.5573477998841554,2182,2,
D,D,True,1.4129139999859035,1895,2,
B,D,True,1.247775899944827,1992,2,
C,B,True,1.6372872001957148,1734,2,
C,B,True,1.3864758999552578,1729,2,
C,C,True,0.5051985001191497,1860,2,
B,D,True,0.6203564999159425,1815,2,
C,B,True,0.7441944999154657,1812,2,
D,D,True,0.874016199959442,1904,2,
C,B,True,0.9404407001566142,2331,2,
A,C,True,0.5029543000273407,1813,2,
B,D,True,0.8977184998802841,3612,2,
B,D,True,0.5395195998717099,1859,2,
B,C,True,0.9554910000879318,1921,2,
C,B,True,0.5410273999441415,1955,2,
