answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,4.217993699945509,1999.0,1.0,551.0
A,A,True,5.392187400022522,2525.0,1.0,905.0
D,D,True,3.7403702000156045,2008.0,1.0,522.0
C,C,True,3.572873800061643,2038.0,1.0,502.0
A,A.,True,4.108653099974617,1966.0,2.0,528.0
D,D,True,3.2857991999480873,1865.0,1.0,438.0
B,"Malami ya nuna hoto ga yara wanda ke nuna sauyin yanayin abu daga daskararre zuwa gas. Menene sunan sauyin yanayi da malamin yake son ya koyar?
A. Tarawa (ko) Tarwada (ko) Narkewa (dangane da mahallin)
B. Sublimation
C. bushewa
D. Fuzarwa

B",True,4.486265300074592,2050.0,90.0,577.0
C,C.,True,3.941108499886468,1981.0,2.0,557.0
A,"Ka yi la'akari da yanayi mai zuwa: Wata malama tana koyar da darasi game da teku a cikin babi na Halittu Masu Rai da Muhallinsu. Don haka, ta nuna bidiyo inda aka ga teku a lokacin ranar raƙuman ruwa. Ɗaya daga cikin yaran ya tambayi me ya sa raƙuman ruwa suke faruwa. Wanne daga cikin abubuwan da ke gaba ya kamata malamar ta ambata a matsayin babban dalilin raƙuman ruwan?
A. Iskan
B. Ƙarfin jan hankali na Wata
C. Bambance-bambancen zafin sararin samaniya
D. Canjin yanayin zafin teku

B",True,6.746299999998882,2554.0,171.0,919.0
B,B.,True,3.309813699917868,1902.0,2.0,453.0
D,"Karanta halin da ke gaba: A cikin rukuni na yara ƙanana, Ignacio yana gabatar da bayani game da kifin clown kuma ya bayyana wa abokan karatunsa cewa wannan nau'in yana samun kariya daga anemone na teku daga masu farauta, yayin da anemone ɗin ma ke samun kariya saboda kifin yana korar wasu kifaye masu farautarta. Malamar ta shiga tsakani don ta bayyana musu menene sunan irin dangantakar halittu da yaron ya bayyana. Wace irin dangantakar halittu ce malamar ya kamata ta ambata a cikin bayanin nata?
A. Cushe-zama-da-yawa
B. Amensalizim
C. Bangaranci
D. Tsarin Hulɗa Mai Amfani Ga Juna
D",True,5.623345599975437,2445.0,193.0,766.0
D,D,True,3.6501073001418263,1949.0,1.0,532.0
A,A,True,6.02154009998776,2305.0,1.0,745.0
