answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,D,True,4.691475700004958,1327,174,164
A,A,True,3.5984541999641806,1229,97,87
D,D,True,2.1341675999574363,1338,53,43
D,B,True,7.988671500002965,1382,204,194
B,C,True,4.708712599996943,1342,163,153
D,A,True,4.183708099997602,1371,167,157
B,B,True,5.362702799960971,1358,221,211
D,C,True,3.7051542999688536,1414,103,93
B,D,True,4.8381725999643095,1629,150,140
B,D,True,7.206600699981209,1422,277,267
C,C,True,3.558340199990198,1546,126,116
C,C,True,3.445527800009586,1372,114,104
A,D,True,3.968510199978482,1465,141,131
C,D,True,12.0242084999918,1680,444,433
C,D,True,7.009512000018731,1357,220,210
A,A,True,8.333343999984208,1464,318,308
D,D,True,2.949722899997141,1438,77,67
B,B,True,1.385879700013902,1198,34,24
A,B,True,5.152151599992067,1538,171,161
A,B,True,5.322768800018821,1681,170,160
D,D,True,2.397938400041312,1218,65,55
B,B,True,5.850430999998935,1310,200,190
D,D,True,4.214447400008794,1301,90,80
C,B,True,2.971737199986819,1531,89,79
D,B,True,2.4802292000385933,1467,88,78
C,B,True,12.497968300012872,1967,519,509
B,B,True,3.14863409998361,1300,108,98
C,B,True,3.8676237000036053,1424,144,134
A,D,True,4.01978049997706,1265,112,102
A,D,True,4.302803399972618,1323,170,160
B,B,True,5.721362299984321,1613,209,199
D,D,True,2.968349799979478,1413,99,89
C,D,True,4.0285266999853775,1282,129,119
A,A,True,2.318381299963221,1511,65,55
C,D,True,4.567993500037119,1395,186,176
C,C,True,4.263504699978512,1630,131,121
B,B,True,3.3347635999671184,1274,103,93
A,C,True,4.697524500021245,1280,145,135
