question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,pedagogical_subdomain,age_group,year,secondary_category,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025,pred_gemini-3-pro-preview,Latency_gemini-3-pro-preview,TokensUsed_gemini-3-pro-preview,TokensUsedCompletion_gemini-3-pro-preview,TokensUsedReasoning_gemini-3-pro-preview,pred_gpt-5.2-2025-12-11-medium,Latency_gpt-5.2-2025-12-11-medium,TokensUsed_gpt-5.2-2025-12-11-medium,TokensUsedCompletion_gpt-5.2-2025-12-11-medium,TokensUsedReasoning_gpt-5.2-2025-12-11-medium,pred_gemini-3-flash-preview,Latency_gemini-3-flash-preview,TokensUsed_gemini-3-flash-preview,TokensUsedCompletion_gemini-3-flash-preview,TokensUsedReasoning_gemini-3-flash-preview
3,Pedagogy Benchmark Luganda,"Omusomesa ow’ekibiina ekisooka agenda kutandika omutwe ogw’ebyokuyiga ogukwata ku ngeri emikyuka egya bulijjo gye gikosaamu ebiramu n’obutonde bw’ensi. Mu bibuuzo bino wammanga, kibuuzo ki ekisobozesa omusomesa okwanjula ebyokuyiga eri abayizi?
","Lwaki enjuba egwa olweggulo?
","Lwaki emisana mimpi mu biseera by’obutiti?
","Lwaki abantu bagoberera enkola ennamu mu biseera by'emisana?
","Lwaki olowooza abantu abasinga balala kiro?
",,,,D,Science,Teaching strategies,Primary,2017,,C,2.161413799971342,1673,3,,C,5.877528300043196,1673,2,,B,9.749363099923356,1823,339,320,B,3.456421900074929,1757,1,0.0,C,4.551612899871543,2023,267,,C,2.5821994999423623,1871,4,0,A,1.250013899989426,1664,1,,D,9.234639899979811,2343,1.0,679,D,4.200725700007752,1601,117,107,D,3.5812466999923345,2133,,470
4,Pedagogy Benchmark Luganda,"Mu somo ly'Essomabiramu, omusomesa ateekawo ekigendererwa kino eri Ekibiina ekisooka: ""Okunnyonnyola ekitera okubaawo ku miti gy'ebibala mu biseera by'omwaka eby'enjawulo."" Ku bikolwa bino wammanga, kiki ekisinga okuba ekituufu okukebera obumanyirivu bw'abayizi?
","Bawe akapapula omwereere muyizi era omugambe okuzimba omuti gw'ekibala ky'asinga okwagala mu biseera by'omwaka bibiri.
","Waawa abaana ebifaananyi eby’enjawulo ebiraga emiti egy’engeri ez’enjawulo, oluvannyuma obasabe okugigawula mu miti egibala ebibala n’egitaliimu bibala.
","Ggwe omuyizi, kuliko olupapula olulina ebifaananyi by'emiti gy'ebibala. Buli muti guliiko ekiseera kyagwo eky'omwaka ekyolekeddwa. Ggwe kolela buli muti langi eyo etuukana n'ekiseera kyagwo ekyolekeddwa.
","Bawe abaana kaadi eziriko ebifaananyi by'emiti egy'enjawulo n'endala eziriko ebibala, oluvannyuma obasabe okukwataganya omuti n'ekibala ekigugwanira.
",,,,A,Science,Teaching strategies,Primary,2017,,D,0.9906979000661522,1862,2,,C,1.736658499808982,1862,2,,C,11.48752349987626,2494,851,832,B,11.117835399927571,2343,403,,C,2.0736670000478625,2265,324,,C,2.4157235000748187,2084,4,0,C,1.260919600026682,1853,1,,A,34.026670999999624,4603,1.0,2750,A,4.756278199958615,1768,125,115,C,41.159264000016265,8812,1.0,6959
5,Pedagogy Benchmark Luganda,"Omusomesa akola ku mutwe gw'omubiri gw'omuntu mu kibiina eky'okubiri era ng'ayogera ku kiruubirirwa ky'okutegeera omulimu gw'omutima. Bw'abuuzizza abayizi bye bamanyi, akiraba nti abamu balina endowooza enkyamu ku nsonga eno. Ku ngeri eziddwamu wano, engeri ki eraga endowooza enkyamu ku mutima?
","Omutima gweyongera okuba omugumu okuyita mu mizannyo
","Omutima gw'omuntu gulinga ekikonde kye.
","Omutima gusobozesa omusaayi okutambuza omukka ogwa oxygen okugenda mu mubiri.
","Omutima gukola omusaayi ogugenda mu buli kitundu ky'omubiri.
",,,,D,Science,Student understanding,Primary,2017,,C,0.9331200001761316,1711,2,,D,1.2746808000374583,1711,2,,C,6.931609399849549,1908,403,384,C,11.718309599906206,2188,394,,B,1.7076415999326855,2069,274,,B,3.0048361998051405,1914,4,0,D,1.335164199816063,1702,1,,D,6.498086999985389,2192,1.0,490,D,2.252438299998176,1567,62,52,D,2.7074760000105016,2085,1.0,383
6,Pedagogy Benchmark Luganda,"Ekibiina ky'abaana abato balaba ng'oluggya lujjudde ebimuli by'engeri n'ebiragala eby'enjawulo. Omusomesa akozesa omukisa guno okubakubiriza okunoonyereza ku nsonga eno okuyita mu mitendera gino: 1. Bakuŋŋaanya ebikoola by'ebimuli eby'enjawulo ebigudde mu luggya. 2. Bageraageranya enkula n'ebiragala by'ebikoola bye bakuŋŋaanyizza. 3. Baddamu ekibuuzo ky'omusomesa: ""Kiki ekinaabaawo singa tubiteeka mu mazzi?"" 4. Bateeka ebikoola mu kintu omuli amazzi. Kintu ki omusomesa ky'akubiriza abaana okukozesa mu kibuuzo ky'ababuuzizza mu kiseera ky'omulimu guno?
","Okukebereza
","Okwekenneenya okukulemberwa
","Okuteebereza ebinaavaamu
","Okugeraageranya ku bubaka
",,,,C,Science,Teaching strategies,Pre-primary,2017,,C,1.337999900104478,1768,2,,D,2.158372600097209,1768,2,,C,7.258095299825072,2095,532,512,C,20.786771200131625,2524,676,,C,2.236159299965948,2102,247,,C,2.4517070001456887,1995,4,0,C,1.4603576001245528,1759,1,,C,7.99384030001238,2253,1.0,494,C,3.009501699998509,1621,58,48,C,3.041612900007749,2145,1.0,386
7,Pedagogy Benchmark Luganda,"Soma embeera eno: Omusomesa ayita abaana abato okukola ekiigezo. Mu butto, ayiwa amazzi, butto w’emmere, ne giriserini. Oluvannyuma, ankenenya obutto era n’alaga engeri butto w’emmere ne giriserini gye byambukira waggulu, ate ng’amazzi gasigala wansi. Kintu ki ku bintu ebikola ebintu ekimusomesa ky’alaga mu magezi ago agannyonnyoddwa?
","Obungi bw'ekintu
","Obusobozi bw'ekintu okusaanuuka
","Obuwewufu
","Okugabanyika
",,,,A,Science,Teaching strategies,Pre-primary,2017,,B,1.9157623001374304,1661,2,,D,0.8423154000192881,1661,2,,B,9.75100290006958,2069,595,576,A,5.457048000069335,2818,1079,,C,1.6456083001103252,2030,282,,C,2.302974799880758,1867,4,0,C,1.2813648998271674,1652,1,,C,18.80661769997096,3057,1.0,1405,C,2.435664899996482,1536,62,52,C,3.586737000005087,2145,,494
8,Pedagogy Benchmark Luganda,"Omusomesa annyonnyola abaana ku nkyukakyuka y'embeera amazzi ze gayitamu. Mu mbeera zino wammanga, y'eriwa eyinza okulagibwa ng'ekyokulabirako ky'ekifulukwa (condensation)?
","Okugwa kw'omuzira ku mazzi g'omugga
","Enkyukakyuka y'omuzira okufuuka omukka olw'amaanyi g'omusana
","Okuwoola kw'amazzi g'ennyanja n'okufuuka kwayo omuyembe.
","Okufukirira amayinja agalekebwa ku mukka oguva mu kasulo k’amazzi agabuguma
",,,,D,Science,Teaching strategies,Primary,2017,,D,1.267731900094077,1672,2,,B,1.33288890006952,1672,2,,D,6.043661399977282,1879,403,384,B,17.415430000051856,2184,436,,D,7.841584800044075,3663,1909,,D,2.6639042000751942,1874,4,0,D,1.2275658999569714,1663,1,,D,8.797384799981955,2205,1.0,542,D,3.7943371000001207,1581,105,95,D,4.510437300021295,2254,1.0,591
9,Pedagogy Benchmark Luganda,"Omusomesa alaga abaana ekifaananyi ekiraga enkyukakyuka y’embeera y’ekintu okuva mu ngumu okudda mu ggaasi. Kyaki erinnya ly’enkyukakyuka y’embeera omusomesa gy’ayagala okukolako?
",Enfuufu,"Okufuuyuka
","Okutulukuka
","Okutabika
",,,,B,Science,Teaching strategies,Primary,2017,,C,8.21573320007883,1597,3,,C,0.5636634998954833,1597,2,,C,8.129064899869263,1941,531,512,A,6.3168732998892665,2623,950,,C,2.762718599988148,2250,572,,C,3.40359149989672,1796,4,0,C,1.2684594998136165,1588,1,,B,12.613704600022174,2519,1.0,931,B,4.378711799974553,1551,141,131,B,3.243504000012763,2010,1.0,422
10,Pedagogy Benchmark Luganda,"Nga kitundu ku somo eriyitibwa ""Planeti Yange"", omusomesa alina okunnyonnyola abaana ebintu ebikola obudde. Ku bintu bino wammanga, kiki omusomesa ky'alina okutwala mu nnyonyola ye?
","Obudde, enkuba, n'ebiseera by'omwaka
","Empewo, ebiseera by’omwaka, n’ob溫度 (ebbugumu oba obunnyogovu)
","Okutonnyesa, omuyaga, n'obudde
","Obudde, empewo, n'enkuba
",,,,C,Science,Teaching strategies,Primary,2017,,D,2.255644799908623,1653,3,0.0,B,0.551882800180465,1652,2,,B,5.221235000062734,1794,339,320,D,2.65616189991124,1731,1,0.0,D,2.4637490999884903,2254,521,,C,2.5705967000685632,1850,4,0,B,1.3297063000500202,1643,1,,C,44.15176280000014,5634,,3992,D,8.360761100018863,1714,259,249,D,13.771205299999565,3736,1.0,2093
11,Pedagogy Benchmark Luganda,"Lowooza ku mbeera eno: Omusomesa ali mu kusomesa ebikwata ku nnyanja mu kitundu ekikwata ku Biramu n’Obutonde Bwebyetoolodde. Ku lw’ekyo, alaga vidiyo eraga ennyanja ng’eri mu mpewo ezikunta. Omu ku baana ababuuza lwaki empewo zikunta. Ku bino ebiddako, kiki omusomesa ky’asaanidde okwogerako ng’ensonga enkulu evaako empewo okukunta?
","Omuyaga
","Amaanyi agasikira ebintu ku Mwezi
","Enjawulo mu bwoki bw’omu bbanga
","Enkyukakyuka mu bwoki bw'amazzi g'ennyanja
",,,,A,Science,Teaching strategies,Primary,2017,,D,1.338017800124362,1684,2,,D,1.025241700001061,1684,2,,A,5.9306765999645,1890,403,384,D,19.643218399956822,2339,576,,C,1.8404245998244733,2079,308,,D,2.58127099997364,1897,4,0,D,1.4343894999474287,1675,1,,C,12.254047699971125,2620,,946,A,3.074785200005863,1569,82,72,C,3.682659000012791,2161,1.0,486
12,Pedagogy Benchmark Luganda,"Omusomesa ow’abaana abato alaga abaana vidiyo ekiraga ekintu ekireetebwa obwewunzike bw’enkondo y’ensi. Obwewunzike buno buleeta ekitundu ky’obukiikakkono n’eky’obukiikaddyo okumulisa obutali bumu okw’omusana mu kiseera ensi ky’etambulira okwetoloola omusana. Musinga ki ogw’ensi omusomesa gw’agezaako okunnyonnyola ng’akozesa ebikozesebwa bino?
","Emigga gy'amazzi mu nnyanja
","Ebiseera by'omwaka
","Emisana n'ekiro
","Emigga gy'amazzi
",,,,B,Science,Teaching strategies,Primary,2017,,C,1.1540878999512645,1682,3,,D,1.029217700008303,1682,2,,C,9.040451199980453,2145,659,640,C,17.910738199949265,2197,440,,B,6.539047600002959,2177,413,,B,2.2543508999515325,1887,4,0,B,1.2674014000222087,1673,1,,B,6.510785699996632,2081,1.0,408,B,3.360212599975057,1528,42,32,B,2.7903237999998964,2032,1.0,359
