answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,42.640938900003675,3304,2378,2368
D,D,True,11.183823399995163,1672,714,704
C,D,True,12.170172899997851,1731,714,704
C,C,True,16.51791019999655,2007,1035,1024
B,B,True,19.091423300000315,1907,906,896
B,B,True,10.942401500004053,1547,586,576
C,C,True,62.20585479999863,3571,2570,2560
D,A,True,16.14310509999632,1818,842,832
C,A,True,11.760918799998763,1848,650,640
B,B,True,17.296622100002423,1869,778,768
A,A,True,24.567090300006384,2304,1290,1280
C,B,True,27.45998239999608,2690,1610,1600
B,C,True,23.49595180000324,2482,1482,1472
B,D,True,30.774069999999483,2957,1675,1664
B,C,True,24.64400729999761,2790,1482,1472
C,C,True,15.24093749999156,1864,714,704
A,D,True,21.3311120000144,2098,1034,1024
B,C,True,33.75366979998944,2855,1866,1856
A,A,True,25.844147000010707,2414,1354,1344
B,D,True,13.293755400009104,1851,778,768
B,B,True,46.658665100010694,3566,2442,2432
B,A,True,29.734874300003867,2339,1290,1280
C,C,True,13.621553599994513,1714,650,640
D,D,True,24.009354500012705,2602,1355,1344
D,D,True,12.708133500011172,1683,586,576
D,D,True,8.891868499995326,1563,394,384
B,B,True,12.305520299996715,1882,714,704
B,D,True,22.02451370000199,2196,1098,1088
A,B,True,20.42396440000448,1966,1034,1024
A,A,True,32.78427129999909,3095,1994,1984
A,A,True,16.38426089999848,1939,842,832
C,C,True,23.849451999994926,2919,1546,1536
A,B,True,20.41997230000561,2751,1354,1344
B,B,True,12.495826499987743,1755,650,640
C,D,True,48.8032177999994,3820,2633,2624
C,C,True,25.924167300006957,2058,906,896
B,A,True,28.402209199994104,2506,1162,1152
C,C,True,27.539323000004515,2492,1418,1408
A,A,True,15.680187499994645,1905,906,896
C,C,True,20.48654680000618,1738,842,832
