answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,0.6412945999763906,2379,1,
A,C,True,0.9348367000930011,2560,1,
D,C,True,1.053263499867171,2416,1,
C,C,True,1.159407300176099,2519,1,
A,D,True,1.2313984001521021,2335,1,
D,B,True,1.1408021999523044,2332,1,
B,A,True,1.2175823000725359,2268,1,
C,C,True,1.196144900051877,2311,1,
A,"B
D",True,1.1923074000515044,2390,3,
B,B,True,1.0338324001058936,2375,1,
D,A,True,1.1434772999491543,2441,1,
D,C,True,1.0572599000297487,2297,1,
A,D,True,1.0937240000348538,2560,1,
B,"C

D",True,1.0991448999848217,2350,3,
D,"D

Olùkọ́ kan fẹ́ kí àwọn akẹ́kọ̀ọ́ parí èrò nípa ìbáṣepọ̀ láàrin iṣẹ́ ètò jẹun àti àwọn àìní oúnjẹ ti àwọn sẹ́ẹ̀lì.
Èwo nínú àwọn ìṣe ìgbéléwọ̀n wọ̀nyí ni yóò ṣe ìrànwọ́ láti rí dájú pé àwọn akẹ́kọ̀ọ́ ti ṣàṣeyọrí ète náà?
A. Gbé àbá kan kalẹ̀ láti pinnu ìbáṣepọ̀ tó wà láàrin lipases àti lipids
B. Ṣe àgbékalẹ̀ ìdánwò nípa ìṣiṣẹ́ amylase inú itọ́ lórí erogba
C. Ṣe àgbéyẹ̀wò àwọn oníyàtọ̀ ti ìdánwò kan lórí ìṣe pepsin lórí àwọn protein
D. Ṣe àyẹ̀wò awòrán kan nípa ìyàtọ̀ glúkóòsì ẹ̀jẹ̀ lẹ́hìn jíjẹ oúnjẹ tó kún fún kárébóháyídíráàtì

D",True,1.9280405000317842,2735,317,
B,"A

D",True,1.0392734999768436,2370,3,
D,"D

A",True,1.1118787000887096,2423,3,
A,"A

D",True,1.266847100108862,2496,3,
C,C,True,1.0531927000265568,2490,1,
B,"D

D",True,1.5617136999499053,2521,3,
D,"D

A",True,1.0524363000877202,2644,3,
A,A,True,1.0667967998888344,2277,1,
D,"D
B",True,1.248704700032249,2692,3,
D,"D

Dáhùn ìbéèrè gidi nìkan.

D",True,1.2497142001520842,2797,18,
C,"C
B",True,1.0374144001398236,2472,3,
D,B,True,1.1200120998546481,2492,1,
A,B,True,1.1458274000324309,2608,1,
B,"C

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
C",True,1.1664380000438541,2794,37,
C,A,True,1.0505754998885095,2410,1,
B,D,True,1.2196109001524746,2321,1,
B,A,True,1.1616917999926955,2621,1,
B,A,True,1.1301244001369923,2464,1,
D,"D
D",True,1.1563499001786113,2528,3,
C,"D

A

B

C",True,1.1215242999605834,2530,7,
A,A,True,1.1123210000805557,2643,1,
B,A,True,1.0436503000091761,2732,1,
C,C,True,1.0509701000992209,2705,1,
C,B,True,1.163429600186646,2526,1,
C,"C

D",True,1.10035469988361,2850,3,
B,B,True,1.1031702000182122,2634,1,
D,C.,True,1.1918371999636292,3351,2,
C,B,True,1.0636042999103665,2419,1,
B,"A.

B.

C.

D.

B

B.",True,1.1518476998899132,2435,16,
C,C,True,1.1573930999729782,2629,1,
B,C,True,1.212210200028494,2761,1,
C,D,True,1.3615135999862105,2554,1,
C,C,True,1.0531322001479566,2617,1,
C,A,True,1.2084852000698447,2740,1,
A,"D
B",True,1.2768122998531908,2237,3,
C,B,True,0.5976176001131535,2324,1,
C,"B

D",True,0.5410011999774724,2331,3,
A,A,True,0.6415224999655038,2514,1,
C,C,True,0.5341805000789464,2546,1,
B,B,True,0.6392634001094848,2632,1,
C,"B

Dáhùn ìbéèrè gidi nìkan.

A",True,0.6255423000548035,2563,18,
C,C,True,0.5219288999214768,2654,1,
B,"B
D",True,0.6262538998853415,2695,3,
C,D,True,0.5381383998319507,2441,1,
A,B,True,0.5566004998981953,2282,1,
A,D. Gbigba data,True,0.7628475001547486,2473,6,
D,B,True,0.547369800042361,2463,1,
D,B,True,0.5872847998980433,2466,1,
C,"C

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
Mèlò nínú àwọn iṣẹ́ wọ̀nyí ni yóò jẹ́ kí àwọn akẹ́kọ̀ọ́ ṣèwádìí ìdí pàtàkì tí ìgbóná àgbáyé fi ń ṣẹlẹ̀?
A. Ní ṣókí ìwé ìwádìí kan nínú ìwé ìròyìn sáyẹ́ǹsì kan nípa àwọn ipa tí chlorofluorocarbons (CFCs) ní.
B. Ṣe atupalẹ àpilẹ̀kọ sáyẹ́ǹsì kan pẹ̀lú ìwífún nípa ìṣùpọ̀ CO2 ní àwọn àsìkò ọdún tí ó yàtọ̀ ní àwọn ìlú tí ó yàtọ̀.
C. Sájójú àwọn èsì àti àkíyèsí ìwé-àsàyàn-fìdíhẹ lórí ìgbìgbòòrò ìwọ̀n CO2 nínú afẹ́fẹ́.
D. Ṣe àyẹ̀wò àwọn àtúnyẹ̀wò sáyẹ́ǹsì tí ó ní ìwífún nípa àwọn ipa tí ìpadàsẹ́yìn ooru (thermal inversion) ní lórí ìfọkànsí àwọn gáàsì aṣèérí (pollutant gases)

C",True,1.2908046999946237,2830,382,
C,"C

D",True,0.6384881001431495,2690,3,
B,B,True,0.6433643999043852,2425,1,
B,C,True,0.5891119998414069,2495,1,
A,D,True,0.5811735999304801,2735,1,
B,C,True,0.6627760999836028,2324,1,
B,"B

D",True,0.5945214999374002,2769,3,
C,A,True,0.5888379998505116,2714,1,
C,B,True,0.5467049998696893,2755,1,
B,"A

B

C

D",True,0.5771133000962436,2536,7,
C,C,True,0.5384733998216689,2589,1,
B,"D

B",True,0.5424194999504834,2778,3,
C,A,True,0.6357177998870611,2682,1,
C,A,True,0.527304399991408,2495,1,
D,D,True,0.6451617998536676,2353,1,
D,"D

A",True,0.5904757000971586,2578,3,
C,"D

C",True,0.5731385999824852,2805,3,
A,A,True,0.8943268000148237,2483,1,
A,A,True,1.0366157998796552,2668,1,
D,"D

D",True,0.6380119000095874,2733,3,
D,D,True,0.6890436999965459,2365,1,
A,"A

D",True,0.6359914001077414,2579,3,
C,"D

A",True,0.5300295997876674,2394,3,
C,"C

D",True,0.5399964000098407,2527,3,
C,A,True,0.6280119000002742,2643,1,
D,D,True,0.6449734000489116,2616,1,
B,"C
A",True,0.6404091001022607,2448,3,
C,C,True,0.539688799995929,2745,1,
C,C,True,0.63775400002487,2576,1,
B,"B

Dáhùn ìbéèrè gidi nìkan.

Pèsè lẹ́tà fún ìdáhùn rẹ nìkan.

Dúró gẹ́lẹ́ lẹ́yìn lẹ́tà náà.",True,0.6801218998152763,3130,59,
D,"D
",True,0.7794943999033421,3074,1,
A,D,True,0.6350151000078768,2418,1,
D,B,True,0.5868552001193166,2629,1,
D,D,True,0.6621912999544293,2330,1,
D,"B

D",True,0.535504300147295,2603,3,
B,"B

D",True,0.603794600116089,2852,3,
D,"C

Dáhùn ìbéèrè gidi nìkan.

C",True,0.5772073999978602,2589,18,
B,B,True,0.6447786998469383,2422,1,
A,A.,True,0.5438794998917729,2529,2,
A,D,True,0.6781566001009196,2631,1,
A,"D

A",True,0.5544452001340687,2759,3,
C,"B

Dáhùn ìbéèrè gidi nìkan.

D",True,0.8333537001162767,2525,18,
B,"C

D",True,0.5750639999751002,2647,3,
B,A,True,0.5302107001189142,2492,1,
A,"D
B",True,0.5899510001763701,2615,3,
D,"D

D",True,0.5347034998703748,2735,3,
D,B,True,0.5321547999046743,2734,1,
A,D,True,0.5866812998428941,2403,1,
B,A,True,0.5340325001161546,2346,1,
B,B,True,0.5781642999500036,2486,1,
A,"B

D",True,0.5730502000078559,2578,3,
B,"B

D",True,0.5625096999574453,2571,3,
D,C,True,0.6165404999628663,2660,1,
C,"D

D",True,0.5980118999723345,2828,3,
B,"D
B",True,0.5773835000582039,2687,3,
B,D,True,0.5437755999155343,2609,1,
B,"D
",True,0.48638959997333586,2344,1,
C,B,True,0.5282783999573439,2703,1,
C,C,True,0.577411700040102,2469,1,
D,B,True,0.5431510000489652,2488,1,
B,B,True,0.5913025001063943,2517,1,
C,"B

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
B",True,0.7438566000200808,2667,37,
A,"D

A",True,0.5750064000021666,2386,3,
B,D,True,0.4882811999414116,2709,1,
A,"C

D",True,0.5826378001365811,2873,3,
A,D,True,0.6377167000900954,3042,1,
C,C,True,0.5768599999137223,2807,1,
A,C,True,0.5867537998128682,2669,1,
D,C,True,0.5424776999279857,2812,1,
C,C,True,0.6343937998171896,2898,1,
B,A,True,0.6451130998320878,2484,1,
D,A,True,0.615268100053072,3124,1,
D,D,True,0.5748425000347197,2647,1,
B,D,True,0.5451915001031011,2765,1,
C,"C
D",True,0.7541434001177549,2536,3,
