answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,4.17601600009948,1654,1,602
D,D,True,4.699987299973145,1768,1,687
B,A,True,4.464741299860179,1774,1,675
C,C,True,5.673151399940252,2187,1,951
B,A,True,6.438365299953148,2270,1,1009
C,B,True,5.9171806001104414,2081,1,944
C,C,True,4.767870599869639,1928,1,796
D,D,True,6.788264000089839,2280,1,1151
C,B,True,7.151020799996331,2187,1,1130
B,C,True,4.45705630001612,1854,1,712
B,B,True,4.330797999864444,1686,1,608
B,D,True,4.3520198001060635,1729,1,618
C,C,True,5.219204599969089,1945,1,820
C,C,True,4.615377400070429,1753,1,608
D,A,True,4.115065800026059,1785,1,651
D,D,True,3.080441400175914,1757,1,607
C,C,True,4.218151199864224,1806,1,701
C,C,True,7.35199090000242,2505,1,1325
C,B,True,6.80988880014047,2370,1,1116
A,C,True,4.165571899851784,1783,1,650
C,C,True,6.475414799991995,2505,1,1139
B,B,True,6.096970499958843,2287,1,1014
B,B,True,5.870771600166336,2257,1,1011
A,A,True,6.857449200004339,2602,1,1135
B,A,True,6.513239099876955,2429,1,1192
A,A,True,5.551319200079888,2091,1,948
B,B,True,5.366698700003326,1815,1,765
B,D,True,4.835244700079784,1787,1,719
B,C,True,5.1325366999953985,2110,1,882
A,C,True,5.455791600048542,2030,1,882
B,B,True,5.304914400214329,2031,1,805
C,C,True,7.508052699966356,2812,1,1413
D,D,True,5.068732399959117,1988,1,828
A,A,True,6.600037700030953,2515,1,1209
B,A,True,4.781538999872282,1952,1,785
B,B,True,5.918810400180519,2140,1,898
C,C,True,6.6260416998993605,2627,1,1208
C,A,True,5.832765799947083,2213,1,1002
B,B,True,8.743114199955016,2782,1,1598
B,B,True,8.014960099942982,2960,1,1509
B,C,True,7.65027720015496,2957,1,1462
A,D,True,5.424135699868202,2146,1,897
C,C,True,5.547737800050527,2215,1,915
A,C,True,5.013422799995169,2067,1,838
A,A,True,4.683684000046924,1868,1,753
C,D,True,6.7390773999504745,2273,1,1113
B,D,True,17.960101399803534,4451,1,3343
B,B,True,6.366610299795866,2182,1,1069
B,B,True,5.398755399975926,1969,1,781
A,A,True,5.472135200165212,2193,1,995
D,D,True,4.748754799831659,2077,1,871
A,A,True,8.938542099902406,2733,1,1624
C,C,True,5.481288200011477,2248,1,952
B,B,True,7.679137099999934,2518,1,1252
A,D,True,7.509653300046921,2799,1,1384
D,C,True,7.21878629992716,2531,1,1309
C,C,True,4.952527199871838,2205,1,944
B,D,True,4.469963599927723,1994,1,796
D,B,True,4.5494438000023365,1977,1,832
D,C,True,6.394194799941033,2140,1,1056
D,D,True,6.899036499904469,2553,1,1309
D,D,True,7.587717500049621,3076,1,1557
B,A,True,9.682239799993113,3066,1,1785
B,A,True,3.846676600165665,1939,1,752
D,A,True,5.039135199971497,2106,1,919
B,B,True,5.861442199908197,2571,1,1189
C,C,True,4.766596599947661,1987,1,784
D,D,True,6.816193899838254,2691,1,1303
D,D,True,4.318503600079566,2048,1,820
C,C,True,4.434487299993634,1792,1,728
D,D,True,4.836486800108105,2279,1,943
B,B,True,6.026552800089121,2475,1,1104
D,B,True,4.431145899929106,2134,1,881
C,D,True,8.03606990003027,2485,1,1350
A,C,True,3.7450035999063402,1826,1,720
B,B,True,4.856693600071594,2182,1,926
A,A,True,5.309329199837521,1892,1,812
B,B,True,3.9910627000499517,1916,1,754
B,A,True,4.1394986000377685,1898,1,724
A,A,True,7.706892800051719,3053,1,1536
A,A,True,6.882174100028351,2421,1,1126
A,A,True,5.430717200040817,2159,1,987
B,B,True,4.471917200135067,1798,1,680
B,B,True,3.559406799962744,1753,1,580
A,A,True,5.163124100072309,2388,1,1077
A,A,True,4.74369759997353,2119,1,877
C,C,True,8.599493199959397,3339,1,1772
A,B,True,6.939996300032362,2962,1,1395
B,B,True,5.348209700081497,2227,1,981
D,D,True,4.556899499846622,2065,1,870
B,C,True,7.2042612000368536,3221,1,1319
A,C,True,5.724051699973643,2464,1,1144
D,D,True,6.135849399957806,2299,1,1078
C,C,True,9.330343400128186,3529,1,1934
C,B,True,7.2426629001274705,2891,1,1361
A,B,True,3.4040167999919504,1761,1,614
B,B,True,8.771213199943304,3186,1,1600
B,C,True,5.126446000067517,2050,1,910
D,B,True,5.721905400045216,2361,1,1057
D,D,True,6.2461582000833005,2553,1,1159
A,A,True,6.021970900008455,2410,1,1105
A,A,True,5.050666899885982,2299,1,999
C,D,True,9.514963699970394,3467,1,1830
D,D,True,4.7075196001678705,2065,1,805
B,B,True,14.358616299927235,4102,1,2564
D,D,True,4.913153900066391,2212,1,973
A,B,True,6.341430499916896,2687,1,1280
C,C,True,7.784407100174576,2937,1,1575
A,A,True,4.3905068000312895,2076,1,877
A,C,True,8.238128800177947,3364,1,1684
C,C,True,7.926049700006843,3042,1,1470
C,C,True,5.035928199999034,2237,1,942
D,D,True,4.408021700102836,1999,1,830
B,A,True,6.8624222001526505,2829,1,1335
B,C,True,8.014480900019407,3180,1,1636
C,A,True,5.475225700065494,2503,1,968
A,D,True,7.634363600052893,2656,1,1360
D,B,True,6.405645499937236,2820,1,1306
C,C,True,5.271130700130016,2286,1,957
D,D,True,7.948986500035971,3079,1,1551
A,A,True,4.811034299898893,2051,1,897
A,A,True,6.881942699896172,2278,1,1144
D,B,True,6.603733800118789,2422,1,1234
B,C,True,4.086313100066036,1817,1,702
B,D,True,4.002370100002736,1932,1,728
C,C,True,4.0438963999040425,1748,1,715
