answers,resps,success
D,B,True
A,C,True
D,C,True
C,C,True
A,D,True
D,B,True
B,A,True
C,C,True
A,"B
D",True
B,B,True
D,A,True
D,C,True
A,D,True
B,"C

D",True
D,"D

Olùkọ́ kan fẹ́ kí àwọn akẹ́kọ̀ọ́ parí èrò nípa ìbáṣepọ̀ láàrin iṣẹ́ ètò jẹun àti àwọn àìní oúnjẹ ti àwọn sẹ́ẹ̀lì.
Èwo nínú àwọn ìṣe ìgbéléwọ̀n wọ̀nyí ni yóò ṣe ìrànwọ́ láti rí dájú pé àwọn akẹ́kọ̀ọ́ ti ṣàṣeyọrí ète náà?
A. Gbé àbá kan kalẹ̀ láti pinnu ìbáṣepọ̀ tó wà láàrin lipases àti lipids
B. Ṣe àgbékalẹ̀ ìdánwò nípa ìṣiṣẹ́ amylase inú itọ́ lórí erogba
C. Ṣe àgbéyẹ̀wò àwọn oníyàtọ̀ ti ìdánwò kan lórí ìṣe pepsin lórí àwọn protein
D. Ṣe àyẹ̀wò awòrán kan nípa ìyàtọ̀ glúkóòsì ẹ̀jẹ̀ lẹ́hìn jíjẹ oúnjẹ tó kún fún kárébóháyídíráàtì

D",True
B,"A

D",True
D,"D

A",True
A,"A

D",True
C,C,True
B,"D

D",True
D,"D

A",True
A,A,True
D,"D
B",True
D,"D

Dáhùn ìbéèrè gidi nìkan.

D",True
C,"C
B",True
D,B,True
A,B,True
B,"C

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
C",True
C,A,True
B,D,True
B,A,True
B,A,True
D,"D
D",True
C,"D

A

B

C",True
A,A,True
B,A,True
C,C,True
C,B,True
C,"C

D",True
B,B,True
D,C.,True
C,B,True
B,"A.

B.

C.

D.

B

B.",True
C,C,True
B,C,True
C,D,True
C,C,True
C,A,True
A,"D
B",True
C,B,True
C,"B

D",True
A,A,True
C,C,True
B,B,True
C,"B

Dáhùn ìbéèrè gidi nìkan.

A",True
C,C,True
B,"B
D",True
C,D,True
A,B,True
A,D. Gbigba data,True
D,B,True
D,B,True
C,"C

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
Mèlò nínú àwọn iṣẹ́ wọ̀nyí ni yóò jẹ́ kí àwọn akẹ́kọ̀ọ́ ṣèwádìí ìdí pàtàkì tí ìgbóná àgbáyé fi ń ṣẹlẹ̀?
A. Ní ṣókí ìwé ìwádìí kan nínú ìwé ìròyìn sáyẹ́ǹsì kan nípa àwọn ipa tí chlorofluorocarbons (CFCs) ní.
B. Ṣe atupalẹ àpilẹ̀kọ sáyẹ́ǹsì kan pẹ̀lú ìwífún nípa ìṣùpọ̀ CO2 ní àwọn àsìkò ọdún tí ó yàtọ̀ ní àwọn ìlú tí ó yàtọ̀.
C. Sájójú àwọn èsì àti àkíyèsí ìwé-àsàyàn-fìdíhẹ lórí ìgbìgbòòrò ìwọ̀n CO2 nínú afẹ́fẹ́.
D. Ṣe àyẹ̀wò àwọn àtúnyẹ̀wò sáyẹ́ǹsì tí ó ní ìwífún nípa àwọn ipa tí ìpadàsẹ́yìn ooru (thermal inversion) ní lórí ìfọkànsí àwọn gáàsì aṣèérí (pollutant gases)

C",True
C,"C

D",True
B,B,True
B,C,True
A,D,True
B,C,True
B,"B

D",True
C,A,True
C,B,True
B,"A

B

C

D",True
C,C,True
B,"D

B",True
C,A,True
C,A,True
D,D,True
D,"D

A",True
C,"D

C",True
A,A,True
A,A,True
D,"D

D",True
D,D,True
A,"A

D",True
C,"D

A",True
C,"C

D",True
C,A,True
D,D,True
B,"C
A",True
C,C,True
C,C,True
B,"B

Dáhùn ìbéèrè gidi nìkan.

Pèsè lẹ́tà fún ìdáhùn rẹ nìkan.

Dúró gẹ́lẹ́ lẹ́yìn lẹ́tà náà.",True
D,"D
",True
A,D,True
D,B,True
D,D,True
D,"B

D",True
B,"B

D",True
D,"C

Dáhùn ìbéèrè gidi nìkan.

C",True
B,B,True
A,A.,True
A,D,True
A,"D

A",True
C,"B

Dáhùn ìbéèrè gidi nìkan.

D",True
B,"C

D",True
B,A,True
A,"D
B",True
D,"D

D",True
D,B,True
A,D,True
B,A,True
B,B,True
A,"B

D",True
B,"B

D",True
D,C,True
C,"D

D",True
B,"D
B",True
B,D,True
B,"D
",True
C,B,True
C,C,True
D,B,True
B,B,True
C,"B

Dáhùn ìbéèrè gidi tí ó tẹ̀lé e ní lílo irú ọ̀nà ìdáhùn kan náà:
B",True
A,"D

A",True
B,D,True
A,"C

D",True
A,D,True
C,C,True
A,C,True
D,C,True
C,C,True
B,A,True
D,A,True
D,D,True
B,D,True
C,"C
D",True
C,"C

D",True
C,B,True
B,B,True
C,"D

C

B

C",True
D,C,True
C,C,True
A,"C

D",True
B,B,True
B,"D
C
B
C",True
B,D,True
C,"D
C
B
C",True
A,A,True
B,"A

D",True
C,C,True
B,"D
",True
D,A,True
B,B,True
A,A,True
C,A,True
B,"D

A",True
C,C,True
C,A,True
C,A,True
A,"D
B
C
D",True
B,A,True
B,D,True
D,"D

B",True
D,C,True
D,B,True
A,"D

Dáhùn ìbéèrè gidi nìkan.

D",True
D,C,True
C,"D

D",True
B,B,True
D,"D

D",True
D,"D

D",True
C,"D

B

C

D",True
D,"D
B",True
D,B,True
B,C,True
C,C,True
C,"D
D",True
C,"C
D",True
A,C,True
D,B,True
