answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,3.7616837000241503,1665,85,75
C,D,True,4.995037799992133,1634,163,153
D,D,True,3.2015766000258736,1514,74,64
B,C,True,3.909296599973459,1540,128,118
A,C,True,5.213367499993183,1673,188,178
D,D,True,1.8373131999978796,1619,27,17
D,D,True,4.133328600029927,1829,170,160
B,B,True,5.683976800006349,1829,231,221
B,B,True,4.459019300004002,1819,155,145
A,A,True,2.5860437999945134,1514,100,90
C,C,True,4.918289499997627,1602,152,142
C,C,True,4.719140900007915,1654,99,89
A,A,True,3.6608549999655224,1576,124,114
C,C,True,4.663544900016859,1862,205,195
C,D,True,9.315928199968766,1822,400,390
C,C,True,5.419538899965119,1932,178,168
D,D,True,4.209573999978602,1573,102,92
C,C,True,5.356196400010958,1717,228,218
C,C,True,3.5253410000004806,1676,112,102
D,D,True,7.575546500040218,2011,354,344
A,A,True,3.900926799979061,1621,103,93
B,B,True,4.063142300001346,1611,152,142
C,C,True,4.114237100002356,1688,143,133
D,A,True,7.088669500022661,1787,205,195
A,A,True,4.920978500042111,1612,223,213
B,B,True,2.7706213999772444,1624,93,83
C,C,True,9.361225400003605,1924,385,375
C,C,True,2.7243382000015117,1666,80,70
C,C,True,2.556834399991203,1794,66,56
B,B,True,3.957322700007353,1658,100,90
B,C,True,6.6018544000107795,1856,228,218
D,D,True,3.5822717000264674,1820,121,111
B,B,True,5.123922800004948,2222,196,186
C,D,True,1.7566349999979138,1564,47,37
D,D,True,4.177976700011641,1673,136,126
B,D,True,4.935957000008784,1860,111,101
D,D,True,5.947790700010955,1950,245,235
