answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,0.7662138000014238,1686,1,
A,"D
C
B
C",True,1.0236393000232056,1881,7,
D,D.,True,1.1045585999963805,1725,2,
C,D,True,0.9532141999807209,1781,1,
A,D,True,0.8707331000186969,1674,1,
D,D,True,1.2322827000170946,1685,1,
B,"D
C
A",True,1.057553899998311,1614,5,
C,D.,True,1.2367707999947015,1666,2,
A,D,True,1.041415399988182,1697,1,
B,"D
C
B
B",True,1.067767799977446,1701,7,
D,D,True,1.1365515999787021,1824,1,
D,"D

B",True,1.1743567000085022,1653,3,
A,D,True,1.2440963000117335,1827,1,
B,D,True,1.2646569999924395,1722,1,
D,D,True,1.237739000003785,2018,1,
B,D.,True,0.9992394000000786,1708,2,
D,D,True,1.1746702999807894,1728,1,
A,D,True,0.9881592999736313,1798,1,
C,D,True,0.9013268999988213,1761,1,
B,D.,True,0.8672395999892615,1807,2,
D,D.,True,0.9571289000159595,1875,2,
A,D.,True,0.984799900004873,1655,2,
D,D,True,0.9383581999863964,1929,1,
D,D,True,0.981700499978615,1930,1,
C,D,True,1.1221383000083733,1812,1,
D,D,True,1.0445258999825455,1813,1,
A,D,True,1.2232348999823444,1811,1,
B,D,True,1.0521816999826115,2020,1,
C,D.,True,1.156661199987866,1743,2,
B,D,True,1.2265483999799471,1710,1,
B,D,True,1.1727733000006992,1830,1,
B,D,True,1.302571500011254,1793,1,
D,D,True,1.0302803000085987,1805,1,
C,D,True,1.1595606000046246,1841,1,
A,D,True,0.915327900002012,1864,1,
B,D,True,1.2491379999846686,1990,1,
C,D,True,1.2956550999952015,1916,1,
C,D,True,1.1289731999859214,1744,1,
C,"D
C
B
C",True,1.0077005999919493,2028,7,
B,D,True,0.9983795999723952,1893,1,
D,D,True,1.0055927000066731,2395,1,
C,D,True,1.1767472999927122,1724,1,
B,D,True,1.0529446000000462,1714,1,
C,D,True,0.8751129999873228,1889,1,
B,D,True,1.1132204000023194,1929,1,
C,"D

C

B

C",True,1.1793743999733124,1822,7,
C,D,True,1.171810200001346,1823,1,
C,D,True,1.1245323000184726,1980,1,
A,D,True,1.009530499984976,1688,1,
C,D.,True,0.7541433000005782,1675,2,
C,D.,True,0.4554000000061933,1663,2,
A,D,True,0.7784501000132877,1767,1,
C,D,True,0.5903058999974746,1804,1,
B,D,True,0.5565296999993734,1893,1,
C,D.,True,0.44412040000315756,1776,2,
C,D,True,0.569496199983405,1889,1,
B,D,True,0.4397306999890134,1878,1,
C,D,True,0.5685575999959838,1744,1,
A,D,True,0.6937915000016801,1656,1,
A,D,True,0.8248101999924984,1765,1,
D,D,True,0.4632252999872435,1717,1,
D,D,True,0.7561886000039522,1799,1,
C,D,True,0.5826925000001211,1978,1,
C,D,True,0.758142200007569,1900,1,
B,D,True,0.5618070999917109,1724,1,
B,D,True,0.680765800003428,1737,1,
A,D.,True,0.8236803000036161,1956,2,
B,D,True,0.6973352000059094,1696,1,
B,D,True,0.6810919000126887,1937,1,
C,D,True,0.5474836000066716,1896,1,
C,D,True,0.8160497000208125,1891,1,
B,D.,True,0.4381717999931425,1823,2,
C,D,True,0.5792378999758512,1889,1,
B,"D
C
B",True,0.682769000006374,2007,5,
C,D,True,0.5702759000123478,1897,1,
C,D.,True,0.6546639000007417,1808,2,
D,D,True,0.737881799985189,1705,1,
D,D,True,0.7092950000078417,1864,1,
C,D,True,0.6724630999960937,2002,1,
A,D,True,0.6734887999773491,1963,1,
A,D,True,0.7388999000249896,1845,1,
D,D,True,0.8335688000079244,1962,1,
D,D,True,0.6842797999852337,1692,1,
A,"D
C
B
D",True,0.4957200999779161,1857,7,
C,D,True,0.4614733000053093,1712,1,
C,D,True,0.6163661000027787,1784,1,
C,D,True,0.8739931999880355,1879,1,
D,D,True,0.7334289000136778,1801,1,
B,D,True,0.7727487000229303,1742,1,
C,D.,True,0.7665924000029918,1959,2,
C,"D
C
B
B",True,0.6325633999949787,1858,7,
B,D.,True,0.7910820000106469,2124,2,
D,D,True,0.49902650000876747,2190,1,
A,D,True,0.4120107999769971,1698,1,
D,D,True,0.5851022999850102,1898,1,
D,D,True,0.81614609999815,1672,1,
D,D,True,0.681468800001312,1800,1,
B,D,True,0.6999183000007179,2041,1,
D,D,True,0.6754111000045668,1849,1,
B,D,True,0.5752358000027016,1974,1,
A,D,True,0.7056034000124782,1829,1,
A,D,True,0.649683899973752,1862,1,
A,D,True,0.5849732000206131,1941,1,
C,D,True,0.7537000000011176,1786,1,
B,D,True,0.5419158000149764,1907,1,
B,D,True,0.819374799990328,1819,1,
A,D,True,0.7578046999988146,1813,1,
D,D,True,0.5776907999825198,1962,1,
D,D,True,0.4701260000001639,1998,1,
A,D,True,0.5306253999879118,1730,1,
B,D,True,0.5658318999921903,1725,1,
B,D,True,0.5290939999977127,1778,1,
A,D,True,0.4847056999860797,1925,1,
B,D,True,0.7029313999810256,1843,1,
D,D,True,0.5880987999844365,1881,1,
C,D,True,0.5843747000035364,1985,1,
B,D,True,0.5755758000013884,1898,1,
B,D,True,0.6594003000063822,1900,1,
B,D,True,0.4659545000176877,1669,1,
C,D.,True,0.7446799000026658,1903,2,
C,D,True,0.6988581999903545,1773,1,
D,D,True,0.6858695000119042,1827,1,
B,D,True,0.7085867999994662,1757,1,
C,D,True,0.6513451999926474,1860,1,
A,D,True,0.5622545999940485,1584,1,
B,D,True,0.7103672999946866,1874,1,
A,D,True,28.349942600005306,2033,1,
A,D,True,0.6827673999941908,2173,1,
C,D,True,0.6780827000038698,1930,1,
A,D,True,0.6497352999867871,1974,1,
D,D,True,0.6893024999881163,2019,1,
C,"D
C
B
A",True,0.7081711000064388,2052,7,
B,"D

C

B

A",True,0.5466732000058983,1754,7,
D,D,True,0.7262770000088494,2195,1,
D,D,True,0.7223819999780972,1908,1,
B,D,True,0.6204996999877039,2005,1,
C,D,True,0.36293139998451807,1747,1,
C,D.,True,0.5395142000052147,1743,2,
C,D,True,0.7070974999805912,1873,1,
B,D,True,0.7568661000113934,1828,1,
C,"D
C
B
C",True,0.4690037999826018,1831,7,
D,D,True,0.4848364999925252,1917,1,
C,D.,True,0.45524310000473633,2345,2,
A,D,True,0.6407372999819927,1826,1,
B,D,True,0.6907110999745782,3625,1,
B,D,True,0.6552563000004739,1872,1,
B,"D
C
B
D",True,0.8015341999998782,1940,7,
C,D,True,0.6496136999921873,1968,1,
A,D,True,0.5338866999954917,1700,1,
B,D,True,0.6610422999947332,1866,1,
C,D,True,0.8183771999902092,1803,1,
B,D,True,0.5095166999963112,1867,1,
D,D.,True,0.745234400004847,2152,2,
B,D.,True,0.7615732999984175,1859,2,
A,D,True,0.5781806000159122,1895,1,
C,D,True,0.6326921000145376,2216,1,
B,D,True,0.6781636000087019,1887,1,
C,D,True,0.7045666000049096,1766,1,
C,D,True,0.7253356000001077,1707,1,
C,D,True,0.6831310000270605,1746,1,
A,D,True,0.57446939998772,1908,1,
B,D,True,0.5177954999962822,1771,1,
B,D,True,0.5497054999868851,1798,1,
D,D,True,0.580792399996426,1929,1,
D,D,True,0.7314916999894194,1744,1,
D,D,True,0.36821890002465807,1745,1,
A,D,True,0.3895871000131592,1859,1,
D,D,True,0.5105111000011675,1937,1,
C,"D
C
B
A",True,0.4555314999888651,1775,7,
B,D,True,0.6833666999882553,2336,1,
D,D,True,0.6348049999796785,2249,1,
D,D,True,0.7408243000099901,1971,1,
C,D,True,0.3857700999942608,1702,1,
D,D,True,0.5106759000045713,1864,1,
D,D,True,0.6784961999801453,1803,1,
B,D,True,0.6994131999963429,2000,1,
C,D,True,0.5649750000156928,2182,1,
C,D.,True,0.641937299980782,1797,2,
C,D,True,0.5081879000063054,1863,1,
A,D,True,0.4338557999872137,1969,1,
D,D.,True,0.6499831000110134,1957,2,
D,D,True,0.6696230000234209,1894,1,
B,D,True,0.39090339999529533,1642,1,
