answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,6.24174630001653,2733,1,1047
A,A,True,6.291980999987572,2858,1,983
D,D,True,3.5297709000005852,2337,1,613
C,C,True,3.636564799991902,2368,1,587
A,C,True,4.7121560999949,2391,1,717
D,D,True,3.588780999998562,2223,1,538
B,B,True,6.631314199999906,2750,1,1140
C,B,True,9.997309500002302,3515,1,1850
A,C,True,4.004214799992042,2233,1,536
B,B,True,4.064829200011445,2388,1,693
D,D,True,4.00212509999983,2562,1,738
D,D,True,3.2218708000145853,2103,1,452
A,A,True,5.678152499982389,2762,1,935
B,D,True,4.935414400009904,2545,1,823
D,C,True,6.9806974999955855,3124,1,1106
B,B,True,3.7923016999848187,2243,1,536
D,B,True,5.012842800002545,2605,1,877
A,A,True,14.276804099994479,4477,1,2679
C,C,True,3.819553999986965,2331,1,570
B,B,True,5.252690799999982,2779,1,973
D,D,True,4.80274039998767,2703,1,829
A,B,True,4.446311300009256,2361,1,707
D,D,True,6.72496239998145,2931,1,1002
D,B,True,33.94279460000689,2911,1,981
C,C,True,4.499205899977824,2576,1,764
D,D,True,7.318811100005405,3013,1,1200
A,A,True,19.501111599995056,5238,1,3427
B,C,True,5.329182300018147,3011,1,991
C,D,True,8.634896300005494,3210,1,1468
B,B,True,4.320345100015402,2469,1,759
B,B,True,6.0089115999871865,2937,1,1107
B,A,True,5.117856600001687,2654,1,861
D,D,True,6.345311999990372,2880,1,1075
C,C,True,4.278693000000203,2632,1,791
A,A,True,4.775192700006301,2672,1,808
B,A,True,7.721217599988449,3372,1,1382
C,C,True,5.736387900018599,2934,1,1018
C,C,True,5.866569699981483,2710,1,966
C,C,True,5.48602270000265,3052,1,1030
B,A,True,6.185756500024581,3030,1,1137
D,D,True,5.820791000005556,3401,1,1006
C,A,True,5.856627000001026,2767,1,1043
B,B,True,4.7525124000094365,2398,1,684
C,C,True,5.0078105999855325,2779,1,890
B,B,True,6.679305300000124,3054,1,1125
C,C,True,4.933384499978274,2652,1,836
C,D,True,5.436599800013937,2857,1,1034
C,B,True,5.606880799983628,2901,1,921
A,A,True,5.372240500000771,2622,1,934
C,B,True,3.5828784000186715,2319,1,645
C,C,True,4.034732100000838,2331,1,669
A,A,True,4.630497000005562,2626,1,859
C,C,True,4.935256400000071,2795,1,991
B,B,True,6.397627700003795,2836,1,943
C,C,True,3.9776965999917593,2505,1,730
C,A,True,9.929422499990324,3567,1,1678
B,B,True,5.487509400001727,2877,1,999
C,C,True,4.516361700021662,2572,1,828
A,A,True,4.771679500001483,2424,1,768
A,A,True,3.516266299993731,2360,1,595
D,D,True,3.381886299990583,2408,1,691
D,D,True,4.027310800011037,2596,1,797
C,B,True,5.847302100009983,3047,1,1069
C,C,True,5.049464699986856,2962,1,1062
B,B,True,3.9185496999998577,2512,1,788
B,B,True,5.516823600017233,2709,1,972
A,D,True,5.232286999991629,2981,1,1026
B,B,True,3.664143600006355,2371,1,675
B,B,True,4.8350678000133485,2865,1,928
C,C,True,5.024018900003284,2804,1,908
C,C,True,10.283779999997932,3697,1,1806
B,B,True,7.371008999994956,3252,1,1430
C,C,True,4.862834700004896,2881,1,992
B,B,True,7.2456508000032045,3454,1,1451
C,C,True,7.308293300011428,3203,1,1306
C,C,True,7.114388799993321,3194,1,1387
D,D,True,5.245104300003732,2488,1,783
D,D,True,5.3383658999809995,2896,1,1032
C,D,True,5.632800599996699,3159,1,1157
A,A,True,8.916667200013762,3771,1,1808
A,A,True,4.791207100002794,2821,1,976
D,D,True,5.024704999988899,2974,1,1012
D,D,True,6.990941700001713,3036,1,1344
A,D,True,6.013031000009505,2860,1,1009
C,C,True,4.1517752000072505,2479,1,767
C,C,True,4.63774450001074,2678,1,894
C,C,True,5.346527100016829,2897,1,1018
D,D,True,4.630229500005953,2687,1,886
B,B,True,4.238364299992099,2526,1,784
C,C,True,5.583497800020268,2969,1,1011
C,C,True,3.2261872999952175,2478,1,626
B,B,True,4.952851700014435,3017,1,894
D,A,True,8.86015990001033,3967,1,1777
A,A,True,4.4537836000090465,2456,1,758
D,A,True,4.925259400013601,2821,1,923
D,D,True,3.3783243999932893,2312,1,640
D,D,True,5.439021500002127,2847,1,1047
B,B,True,5.4301200000045355,3100,1,1059
D,D,True,7.169335999991745,3075,1,1226
B,B,True,4.707398800004739,2835,1,861
A,A,True,5.509347899991553,2817,1,988
A,A,True,4.851763800019398,2823,1,961
A,A,True,5.278376300004311,2975,1,1034
C,C,True,4.4519710000022314,2649,1,863
B,B,True,4.339587399997981,2645,1,738
B,D,True,5.027951500000199,2689,1,870
A,A,True,5.83919369999785,2776,1,963
D,A,True,5.821776199998567,3037,1,1075
D,D,True,5.760539299983066,3126,1,1128
A,A,True,5.139529500011122,2641,1,911
B,B,True,5.346623599994928,2800,1,1075
B,B,True,4.118195200018818,2571,1,793
A,A,True,4.886295900010737,2904,1,979
