answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"D
",True,1.9260097001679242,1365,3,
A,"A
",True,1.195532500045374,1479,3,
D,"A
",True,1.1296274000778794,1392,3,
C,"C
",True,0.6333612999878824,1453,3,
A,"A
",True,0.6472987998276949,1365,3,
D,A,True,1.16616789996624,1359,2,
B,"C
",True,0.6615435001440346,1319,3,
C,"C
",True,0.64266959996894,1380,3,
A,"A
",True,0.6520400000736117,1397,3,
B,"B
",True,2.115290799876675,1366,3,
D,B,True,0.5929541999939829,1445,2,
D,"A
",True,1.1109662998933345,1352,3,
A,"A
",True,0.6830992000177503,1478,3,
B,A,True,0.7019366999156773,1377,2,
D,"A
",True,0.6164434000384063,1411,3,
B,A,True,0.6099247999954969,1363,2,
D,A,True,1.175365700153634,1409,2,
A,A,True,1.1402799000497907,1464,2,
C,"B
",True,1.1196230000350624,1434,3,
B,B,True,0.6040654999669641,1471,2,
D,B,True,0.5362333999946713,1513,2,
A,"A
",True,0.5646636998280883,1323,3,
D,"A
",True,0.6056931999046355,1565,3,
D,B,True,0.5545505001209676,1621,2,
C,"B
",True,0.622167699970305,1448,3,
D,"A
B
B
D",True,1.0274402999784797,1439,8,
A,B,True,0.5474942000582814,1484,2,
B,B,True,0.6360841998830438,1610,2,
C,"B
",True,0.8213947999756783,1386,3,
B,B,True,0.7311813000123948,1353,2,
B,B,True,0.5707181999459863,1477,2,
B,"A
",True,0.5724096999038011,1451,3,
D,"C
",True,0.6040743000339717,1482,3,
C,"A
",True,0.6197076998651028,1467,3,
A,"B
",True,0.6157223999034613,1533,3,
B,"C
",True,0.6186149001587182,1594,3,
C,"A
",True,0.6820280998945236,1548,3,
C,A,True,0.5627874000929296,1416,2,
C,"B
",True,0.6062605001498014,1636,3,
B,B,True,0.6007550000213087,1516,2,
D,"B
",True,0.8601053999736905,1975,3,
C,"D
",True,0.5764662001747638,1401,3,
B,"B
",True,0.6763542001135647,1377,3,
C,A,True,0.6053732000291348,1509,2,
B,B,True,0.5755614000372589,1577,2,
C,A.,True,0.613222099840641,1458,3,
C,D,True,0.5886892999988049,1485,2,
C,B,True,0.5997795998118818,1602,2,
A,"C
",True,0.6756093997973949,1311,3,
C,"A
",True,0.6009451001882553,1381,3,
C,"B
",True,0.6278168000280857,1353,3,
A,"A
B
B
C",True,0.6837185998447239,1405,8,
C,"A
",True,0.6129520998802036,1468,3,
B,B,True,0.5222046999260783,1527,2,
C,"A
B
C
D",True,0.6846938000526279,1455,8,
C,"C
",True,0.5923232999630272,1539,3,
B,"C
",True,0.8618547997903079,1598,3,
C,A,True,0.560619399882853,1413,2,
A,"A
",True,0.5676025999709964,1341,3,
A,"B
",True,0.6275380000006407,1451,3,
D,A,True,0.5598132000304759,1373,2,
D,B,True,0.5794973000884056,1435,2,
C,"B
",True,0.7910476999823004,1416,3,
C,B,True,0.5991555999498814,1552,2,
B,"A
B
B
D",True,0.6918876999989152,1409,8,
B,"C
",True,0.6487616999074817,1434,3,
A,"D
",True,0.5806489998940378,1574,3,
B,"D
",True,0.6037449999712408,1383,3,
B,"A
",True,0.8869306999258697,1635,3,
C,A,True,0.6359731999691576,1585,2,
C,D,True,0.6465945998206735,1577,2,
B,"A
",True,0.6304677000734955,1513,3,
C,B,True,0.8187253999058157,1493,2,
B,"B
",True,0.6213649001438171,1618,3,
C,"B
",True,0.6319868001155555,1569,3,
C,B,True,0.6660560998134315,1472,2,
D,"A
",True,0.6655036001466215,1380,3,
D,"A
",True,0.6335885999724269,1492,3,
C,"C
",True,0.6633482999168336,1612,3,
A,"C
",True,0.6670138000044972,1438,3,
A,B,True,0.5799081998411566,1493,2,
D,B,True,0.5670413000043482,1581,2,
D,"A
B
B
D",True,0.8956599999219179,1380,8,
A,"A
",True,0.6628656999673694,1518,3,
C,"B
",True,0.611441700020805,1416,3,
C,"C
",True,0.6932714998256415,1413,3,
C,A,True,0.5917910998687148,1524,2,
D,"C
",True,1.0455463998951018,1479,3,
B,"A
B
B
D",True,0.90252840006724,1461,8,
C,D,True,0.5921163999009877,1600,2,
C,"C
",True,0.6091642000246793,1470,3,
B,"C
",True,0.6310385998804122,1723,3,
D,"B
",True,0.6771772000938654,1767,3,
A,"B
",True,0.6300139001104981,1373,3,
D,A,True,0.6860793998930603,1518,2,
D,D,True,0.7074925000779331,1346,2,
D,A,True,1.1909676000941545,1445,2,
B,B,True,0.8515633000060916,1674,2,
D,"C
",True,0.5817210997920483,1510,3,
B,"C
",True,0.6368133998475969,1419,3,
A,"C
",True,0.8732139999046922,1513,3,
A,A,True,0.6042317999526858,1528,2,
A,"B
",True,0.6596047000493854,1566,3,
C,A,True,0.597794699948281,1435,2,
B,A,True,0.5834963000379503,1494,2,
B,A,True,0.6468630000017583,1428,2,
A,"B
",True,0.6144977998919785,1515,3,
D,B,True,0.8715542999561876,1554,2,
D,B,True,0.8700491001363844,1616,2,
A,"A
B
C
D",True,0.8330073000397533,1416,8,
B,B,True,0.6203134001698345,1408,2,
B,"C
",True,0.9930718999821693,1444,3,
A,"A
B
C
D",True,1.2792588998563588,1516,8,
B,A,True,0.5550875999033451,1470,2,
D,"C
",True,0.8060282000806183,1500,3,
C,B,True,1.141770699992776,1577,2,
B,B,True,0.6114577001426369,1545,2,
B,"B
",True,0.6215550999622792,1531,3,
B,"A
",True,0.7232943999115378,1359,3,
C,"B
",True,0.7569770999252796,1548,3,
C,A.,True,0.6887717999052256,1411,3,
D,A,True,0.6545818999875337,1446,2,
B,"B
",True,0.6352810000535101,1453,3,
C,B,True,0.7559070999268442,1535,2,
A,"A
",True,0.6292842999100685,1376,3,
B,B,True,0.663226000033319,1552,2,
A,"B
",True,0.619413899956271,1620,3,
A,"B
",True,0.6806905998382717,1786,3,
C,B,True,0.6149544999934733,1592,2,
A,D,True,0.607722399989143,1556,2,
D,"A
B
C
D",True,0.844279499957338,1662,8,
C,B,True,1.3667010001372546,1678,2,
B,B,True,0.7866231000516564,1435,2,
D,"A
B
C
D",True,0.86887659993954,1791,8,
D,"B
",True,0.8035232999827713,1514,3,
B,D,True,0.6632469000760466,1595,2,
C,"C
",True,0.7385962000116706,1412,3,
C,A,True,0.7273089999798685,1416,2,
C,B,True,0.7417693000752479,1528,2,
B,A,True,0.6818478000350296,1451,2,
C,B,True,1.5698255999013782,1499,2,
D,B,True,1.1277069000061601,1557,2,
C,"A
B
C
D",True,1.6225751999299973,1508,8,
A,"C
",True,0.7874249001033604,1529,3,
B,"A
",True,0.7590362001210451,1578,3,
B,"D
",True,0.6800320998299867,1499,3,
B,B,True,0.7302284000907093,1570,2,
C,D,True,0.6673651000019163,1584,2,
A,C,True,1.256192300003022,1348,2,
B,"D
",True,0.7609852000605315,1522,3,
C,"A
",True,1.0854878001846373,1464,3,
B,"A
",True,0.7015515000093728,1495,3,
D,B,True,0.7096873999107629,1767,2,
B,"C
",True,0.7803558001760393,1508,3,
A,A,True,0.9228262000251561,1503,2,
C,B,True,0.6741577999200672,1811,2,
B,A,True,0.6659840999636799,1502,2,
C,"A
",True,0.6676096001174301,1432,3,
C,A,True,0.661761499941349,1378,2,
C,D,True,0.6819038998801261,1407,2,
A,"A
",True,0.6914375999476761,1563,3,
B,"D
",True,0.7462911999318749,1429,3,
B,"A
",True,0.7838055000174791,1433,3,
D,B,True,0.7969090000260621,1551,2,
D,"C
",True,0.7740990999154747,1407,3,
D,"A
",True,0.7478654000442475,1416,3,
A,"A
",True,0.7217614999972284,1459,3,
D,"B
",True,0.7917809998616576,1631,3,
C,"A
B
C
D",True,1.0010961999651045,1459,8,
B,B,True,0.7179085002280772,1843,2,
D,C,True,0.7064857999794185,1803,2,
D,D,True,0.8716924998443574,1592,2,
C,A,True,0.6585632998030633,1384,2,
D,B,True,0.6606145999394357,1488,2,
D,"C
",True,0.6535775000229478,1457,3,
B,B,True,0.6692576000932604,1620,2,
C,B,True,0.6673701999243349,1771,2,
C,B,True,0.6691238998901099,1477,2,
C,B,True,0.6941784999798983,1478,2,
A,D,True,0.6604007000569254,1559,2,
D,B,True,0.7080599998589605,1601,2,
D,"B
",True,0.7624224999453872,1667,3,
B,A,True,0.6881928001530468,1331,2,
