answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,D,True,8.160416699996858,2191,1,871
A,A,True,8.37515010000061,2182,1,885
D,D,True,9.732141799999226,2558,1,1088
D,A,True,13.825663800002076,2687,1,1333
B,B,True,12.703878000000259,2480,1,1133
D,B,True,18.475408999998763,3119,1,1750
B,B,True,9.324354299998959,2108,1,808
D,D,True,12.756514000000607,2856,1,1363
B,D,True,30.17799180000293,4797,1,3104
B,D,True,12.592774299999292,2502,1,1194
C,C,True,11.530249600000388,2762,1,1142
C,C,True,10.701709299995855,2506,1,1072
A,D,True,25.498461399998632,4184,1,2681
C,A,True,14.135256699999445,2913,1,1501
C,B,True,9.322246099996846,2070,1,764
A,A,True,11.733639199999743,2444,1,1138
D,D,True,8.718544700001075,2439,1,878
B,B,True,10.832209299995156,2494,1,1159
A,B,True,11.42418209999596,2850,1,1287
A,A,True,17.754490799998166,3656,1,1939
D,D,True,10.874594699998852,2220,1,900
B,B,True,17.450118000000657,3058,1,1787
D,D,True,9.119718199995987,2432,1,1048
C,B,True,22.816009900001518,4164,1,2504
D,B,True,11.769212300001527,2842,1,1258
C,B,True,13.93581709999853,2885,1,1221
B,B,True,11.178008900002169,2454,1,1080
C,D,True,9.662039400005597,2439,1,984
A,D,True,9.088440100000298,2220,1,900
A,D,True,8.787909099999524,2220,1,900
B,C,True,19.063699500002258,3547,1,1963
D,D,True,10.117361500000698,2548,1,1050
C,D,True,10.341814499995962,2191,1,871
A,A,True,11.163037300000724,2715,1,1074
C,C,True,9.424331200003508,2336,1,941
C,C,True,12.418244700005744,3012,1,1314
B,B,True,10.915296700004546,2380,1,1028
A,C,True,8.804968500000541,2100,1,798
