answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,D,True,2.3915242000002763,1329,2,0
A,C,True,0.9764671999946586,1306,2,0
D,D,True,0.992159499997797,1479,2,0
D,C,True,0.6992083000004641,1363,2,0
B,C,True,0.9972605000002659,1356,2,0
D,B,True,1.01215830000001,1378,2,0
B,C,True,0.49345940000057453,1309,2,0
D,C,True,1.0622551999986172,1502,2,0
B,D,True,0.5062573999966844,1702,2,0
B,D,True,0.9772430000011809,1317,2,0
C,D,True,0.9895742000007886,1629,2,0
C,C,True,1.0013936000032118,1443,2,0
A,D,True,0.4776711000013165,1512,2,0
C,C,True,1.0163166999991518,1421,2,0
C,D,True,0.9609446000031312,1315,2,0
A,C,True,0.4606512999962433,1315,2,0
D,D,True,0.4884664999990491,1570,2,0
B,C,True,0.6634884000013699,1344,2,0
A,C,True,0.48675660000299104,1572,2,0
A,C,True,0.9768562999961432,1726,2,0
D,D,True,0.44093800000700867,1329,2,0
B,C,True,0.4608154999950784,1280,2,0
D,D,True,0.4898722999932943,1393,2,0
C,C,True,0.46986549999564886,1669,2,0
D,D,True,0.9803375999981654,1593,2,0
C,D,True,1.0179080999951111,1673,2,0
B,C,True,0.5017771999991965,1383,2,0
C,C,True,0.4750604000000749,1464,2,0
A,D,True,0.5213434000033885,1329,2,0
A,D,True,0.46115029999782564,1329,2,0
B,D,True,0.479317399993306,1593,2,0
D,D,True,1.0225132000050507,1507,2,0
C,D,True,0.9734406999996281,1329,2,0
A,C,True,0.48754360000020824,1650,2,0
C,D,True,0.48934149999695364,1404,2,0
C,C,True,0.5146518000037759,1707,2,0
B,C,True,0.4880410000041593,1361,2,0
A,C,True,1.0209238000024925,1311,2,0
