answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,D,True,1.4670615999493748,1332,2,
A,B,True,0.559368500020355,1354,2,
D,D,True,0.6896353999618441,1413,2,
D,C,True,0.5815836999099702,1416,2,
B,D,True,0.5585580000188202,1426,2,
A,D,True,0.5637901001609862,1312,2,
D,C,True,0.6267148000188172,1550,2,
D,D,True,0.5454508000984788,1499,2,
D,C,True,1.0616238000802696,1474,2,
A,D,True,0.5862967001739889,1492,2,
D,B,True,0.6184547001030296,1341,2,
C,D,True,0.6600597999058664,1413,2,
C,C,True,0.5056865001097322,1321,2,
D,C,True,1.056388999801129,1293,2,
D,B,True,0.5543225998990238,1385,2,
D,C,True,0.6532803000882268,1390,2,
C,C,True,0.5754052000120282,1624,2,
C,D,True,0.5805120000150055,1505,2,
A,D,True,0.6527835999149829,1475,2,
A,B,True,0.9824423999525607,1363,2,
B,C,True,0.5529191000387073,1403,2,
B,C,True,0.6218069000169635,1374,2,
C,A,True,0.635848700068891,1418,2,
C,C,True,0.5360171000938863,1470,2,
D,C,True,0.5316275998484343,1387,2,
B,C,True,0.590420100139454,1313,2,
D,B,True,1.250513100065291,1565,2,
C,C,True,0.777181199984625,3011,2,
B,D,True,0.5332979001104832,1707,2,
C,D,True,0.5107549999374896,1523,2,
C,D,True,1.3800246000755578,9537,2,
A,C,True,0.5710193999111652,1532,2,
B,A,True,0.9767360999248922,7710,2,
B,C,True,0.6281235001515597,1403,2,
A,C,True,0.5565308998338878,1327,2,
B,D,True,0.5222084999550134,1322,2,
A,C,True,0.5920749001670629,1519,2,
C,D,True,0.5560443999711424,1639,2,
C,D,True,0.5751443000044674,1457,2,
C,C,True,0.5941367000341415,1587,2,
A,D,True,0.7890764998737723,1527,2,
D,C,True,0.5967513001523912,1593,2,
D,C,True,0.6712525999173522,1607,2,
B,C,True,0.5657174000516534,1396,2,
C,D,True,0.6417271001264453,1423,2,
C,C,True,0.5839988999068737,1326,2,
A,C,True,0.5796749999281019,1386,2,
D,D,True,0.5344479000195861,1383,2,
B,D,True,0.5418473000172526,1853,2,
B,D,True,0.6572618000209332,1501,2,
A,D,True,0.5716712002176791,1319,2,
A,D,True,0.5789787999819964,1670,2,
C,B,True,0.5751124999951571,1597,2,
C,D,True,0.5495118000544608,1705,2,
D,D,True,0.5601870000828058,1575,2,
B,B,True,0.5519214998930693,1367,2,
B,C,True,0.6447346999775618,1357,2,
B,C,True,0.7276218999177217,1449,2,
D,D,True,1.0555750001221895,2040,2,
C,D,True,0.6047420999966562,1601,2,
C,D,True,0.6213632000144571,1947,2,
A,D,True,0.6146766999736428,1960,2,
D,C,True,0.6325036999769509,2444,2,
A,C,True,0.5869801000226289,1575,2,
B,B,True,0.6171724998857826,2785,2,
D,D,True,0.5813126000575721,1490,2,
A,C,True,0.5788966999389231,1577,2,
B,D,True,0.588188299909234,1427,2,
C,C,True,0.5750096999108791,1329,2,
D,C,True,0.6111605998594314,1491,2,
A,C,True,0.6476818001829088,1734,2,
C,C,True,0.558411099947989,1732,2,
A,D,True,0.5583955999463797,1472,2,
C,C,True,0.5465386998839676,1548,2,
B,C,True,0.5689538000151515,1429,2,
D,C,True,0.6146748999599367,1606,2,
B,C,True,0.5595237000379711,1370,2,
B,D,True,0.5544696000870317,1278,2,
B,D,True,0.5909710999112576,1441,2,
D,D,True,0.5479355999268591,1397,2,
C,C,True,0.5531116998754442,1429,2,
B,D,True,0.5226258998736739,1446,2,
C,D,True,0.6451133000664413,1510,2,
C,D,True,1.4324022999498993,1485,2,
C,D,True,0.553287899820134,1814,2,
D,D,True,0.5867451000958681,1595,2,
C,C,True,0.545406699879095,1438,2,
B,B,True,0.6381106998305768,2029,2,
D,D,True,0.5402957000769675,1621,2,
C,C,True,0.6415850000921637,1415,2,
D,C,True,0.516778799938038,1408,2,
D,D,True,0.5734151999931782,1763,2,
A,D,True,0.8085423000156879,4940,2,
A,D,True,0.5786532999482006,1509,2,
A,D,True,0.591642800020054,1623,2,
A,D,True,0.6064868997782469,1918,2,
D,D,True,0.527004900155589,1489,2,
C,D,True,0.5896986001171172,1628,2,
