answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"
C",True,5.591099600002053,1041,3,0
D,"
C",True,2.8431715999977314,1084,3,0
C,"
B",True,4.289211700001033,1152,3,0
C,"
B",True,2.036133499997959,1103,3,0
B,"
B",True,2.2743485999963013,1138,3,0
B,"
B",True,1.4042588000011165,1092,3,0
C,"
B",True,2.562009500004933,1124,3,0
D,"
B",True,4.376426700000593,1107,3,0
C,"
A",True,0.874837799994566,1360,3,0
B,"
A",True,0.874017999994976,1233,3,0
A,"
A",True,0.7288722000012058,1149,3,0
C,"
A",True,2.392629699999816,1215,3,0
B,"
C",True,5.748868000002403,1140,3,0
B,"
A",True,4.215490700000373,1440,3,0
B,"
D",True,1.6489360999985365,1473,3,0
C,"
B",True,3.545447600001353,1299,3,0
A,"
A",True,1.8124193000039668,1213,3,0
B,"
C",True,1.541091699997196,1119,3,0
A,"
C",True,2.073935899999924,1190,3,0
B,"
B",True,3.3282144000040716,1213,3,0
B,"
C",True,2.6865682000061497,1281,3,0
B,"
A",True,0.8359931000013603,1193,3,0
C,"
D",True,0.823128000003635,1210,3,0
D,"
A",True,2.3542282999987947,1392,3,0
D,"
B",True,2.241586299998744,1233,3,0
D,"
B",True,0.7699068000001716,1325,3,0
B,"
B",True,2.3650309999939054,1317,3,0
B,"
C",True,2.620962300003157,1253,3,0
A,"
A",True,2.7080101999963517,1059,3,0
A,"
C",True,1.5167292000041925,1242,3,0
A,"
D",True,0.8157141000046977,1239,3,0
C,"
A",True,2.9412559999982477,1523,3,0
A,"
B",True,0.7295598000055179,1557,3,0
B,"
D",True,2.4236373999956413,1243,3,0
C,"
D",True,0.828511100000469,1339,3,0
C,"
C",True,1.4976241000040318,1300,3,0
B,"
B",True,0.9312279000005219,1527,3,0
C,"
C",True,3.775008999997226,1207,3,0
A,"
C",True,4.395604999997886,1127,3,0
C,"
C",True,0.7883283999981359,1013,3,0
