model,question config,language,english_prompt,category,total latency time (s),latency per question (s),provider
claude-sonnet-4-5-20250929,CDPK_English_science,English,False,Science,716.4831951032393,3.852060188727093,Anthropic
fw-deepseek-r1-0528,CDPK_English_science,English,False,Science,3776.1063287991565,20.301646929027722,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_English_science,English,False,Science,124.87586549948901,0.6713756209649947,Google
gemini-3-flash-preview,CDPK_English_science,English,False,Science,4831.27396219995,25.974591194623386,Google
gemini-3-pro-preview,CDPK_English_science,English,False,Science,2769.6714916003402,14.890706944087851,Google
gemma-3-27b,CDPK_English_science,English,False,Science,292.9547320024576,1.5750254408734279,Google
gemma-3-4b-it,CDPK_English_science,English,False,Science,117.24639090057462,0.63035694032567,Google
gpt-5.2-2025-12-11-medium,CDPK_English_science,English,False,Science,495.43866410077317,2.663648731724587,OpenAI
o4-mini-2025-04-16,CDPK_English_science,English,False,Science,932.8824430983514,5.0154970059051145,OpenAI
qwen-3-32b,CDPK_English_science,English,False,Science,2282.7812973007094,12.273017727423168,Alibaba
claude-sonnet-4-5-20250929,CDPK_Hausa_ep_science,Hausa,True,Science,1297.6440761005506,6.976581054304035,Anthropic
fw-deepseek-r1-0528,CDPK_Hausa_ep_science,Hausa,True,Science,1401.8674134977628,7.536921577944961,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Hausa_ep_science,Hausa,True,Science,129.1729700998403,0.6944783338701093,Google
gemini-3-flash-preview,CDPK_Hausa_ep_science,Hausa,True,Science,3317.381958399973,17.835386873118136,Google
gemini-3-pro-preview,CDPK_Hausa_ep_science,Hausa,True,Science,2840.896842300077,15.273638937097187,Google
gemma-3-27b,CDPK_Hausa_ep_science,Hausa,True,Science,221.5123153035529,1.1909264263631876,Google
gemma-3-4b-it,CDPK_Hausa_ep_science,Hausa,True,Science,113.49849219922908,0.6102069473076832,Google
gpt-5.2-2025-12-11-medium,CDPK_Hausa_ep_science,Hausa,True,Science,663.8721212997334,3.5692049532243733,OpenAI
o4-mini-2025-04-16,CDPK_Hausa_ep_science,Hausa,True,Science,1280.4694716001395,6.884244470968492,OpenAI
qwen-3-32b,CDPK_Hausa_ep_science,Hausa,True,Science,2011.5553136998788,10.814813514515476,Alibaba
claude-sonnet-4-5-20250929,CDPK_Hausa_science,Hausa,False,Science,1193.2320674019866,6.415226168827885,Anthropic
fw-deepseek-r1-0528,CDPK_Hausa_science,Hausa,False,Science,5757.277223098092,30.95310334998974,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Hausa_science,Hausa,False,Science,130.72666620090604,0.7028315387145486,Google
gemini-3-flash-preview,CDPK_Hausa_science,Hausa,False,Science,986.5965498000442,5.3042825258066895,Google
gemini-3-pro-preview,CDPK_Hausa_science,Hausa,False,Science,2932.2196078999987,15.764621547849455,Google
gemma-3-27b,CDPK_Hausa_science,Hausa,False,Science,338.7443655997049,1.8212062666650801,Google
gemma-3-4b-it,CDPK_Hausa_science,Hausa,False,Science,153.02442459971644,0.8227119602135292,Google
gpt-5.2-2025-12-11-medium,CDPK_Hausa_science,Hausa,False,Science,654.3184045999897,3.517840884946181,OpenAI
o4-mini-2025-04-16,CDPK_Hausa_science,Hausa,False,Science,1599.4283611993305,8.599077210749089,OpenAI
qwen-3-32b,CDPK_Hausa_science,Hausa,False,Science,7453.001822298393,40.069902270421466,Alibaba
claude-sonnet-4-5-20250929,CDPK_Luganda_ep_science,Luganda,True,Science,503.9228053006809,2.7092623940896825,Anthropic
fw-deepseek-r1-0528,CDPK_Luganda_ep_science,Luganda,True,Science,980.4640389003325,5.2713120370985616,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Luganda_ep_science,Luganda,True,Science,164.99197739828378,0.8870536419262569,Google
gemini-3-flash-preview,CDPK_Luganda_ep_science,Luganda,True,Science,5661.056606300408,30.43578820591617,Google
gemini-3-pro-preview,CDPK_Luganda_ep_science,Luganda,True,Science,4484.895675599459,24.112342341932575,Google
gemma-3-27b,CDPK_Luganda_ep_science,Luganda,True,Science,334.54557749978267,1.7986321370956058,Google
gemma-3-4b-it,CDPK_Luganda_ep_science,Luganda,True,Science,226.1286803993862,1.2157455935450872,Google
gpt-5.2-2025-12-11-medium,CDPK_Luganda_ep_science,Luganda,True,Science,1126.4454331996967,6.056158243009122,OpenAI
o4-mini-2025-04-16,CDPK_Luganda_ep_science,Luganda,True,Science,2053.4805214987136,11.040217857519966,OpenAI
qwen-3-32b,CDPK_Luganda_ep_science,Luganda,True,Science,2720.3746101001743,14.625669946775131,Alibaba
claude-sonnet-4-5-20250929,CDPK_Luganda_science,Luganda,False,Science,2241.8270407999808,12.05283355268807,Anthropic
fw-deepseek-r1-0528,CDPK_Luganda_science,Luganda,False,Science,7273.6760961999535,39.10578546344061,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Luganda_science,Luganda,False,Science,164.9049957995885,0.8865859989225189,Google
gemini-3-flash-preview,CDPK_Luganda_science,Luganda,False,Science,1163.2792121999773,6.254189312903104,Google
gemini-3-pro-preview,CDPK_Luganda_science,Luganda,False,Science,3356.9027220000025,18.04786409677421,Google
gemma-3-27b,CDPK_Luganda_science,Luganda,False,Science,3616.941734600463,19.445923304303566,Google
gemma-3-4b-it,CDPK_Luganda_science,Luganda,False,Science,3141.8239938998595,16.891526848923977,Google
gpt-5.2-2025-12-11-medium,CDPK_Luganda_science,Luganda,False,Science,901.8436189000104,4.848621606989303,OpenAI
o4-mini-2025-04-16,CDPK_Luganda_science,Luganda,False,Science,2822.0373278000334,15.172243697849641,OpenAI
qwen-3-32b,CDPK_Luganda_science,Luganda,False,Science,11900.230340799986,63.97973301505369,Alibaba
claude-sonnet-4-5-20250929,CDPK_Nyankore_ep_science,Nyankore,True,Science,667.6937044000078,3.5897510989247734,Anthropic
fw-deepseek-r1-0528,CDPK_Nyankore_ep_science,Nyankore,True,Science,1610.6657906999171,8.65949349838665,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Nyankore_ep_science,Nyankore,True,Science,137.30271329998504,0.7381866306450808,Google
gemini-3-flash-preview,CDPK_Nyankore_ep_science,Nyankore,True,Science,9196.617594299994,49.4441806145161,Google
gemini-3-pro-preview,CDPK_Nyankore_ep_science,Nyankore,True,Science,4110.910828099586,22.10167111881498,Google
gemma-3-27b,CDPK_Nyankore_ep_science,Nyankore,True,Science,237.44205020007212,1.276570162365979,Google
gemma-3-4b-it,CDPK_Nyankore_ep_science,Nyankore,True,Science,118.64163090003422,0.6378582306453452,Google
gpt-5.2-2025-12-11-medium,CDPK_Nyankore_ep_science,Nyankore,True,Science,1030.0323067999561,5.537808101075033,OpenAI
o4-mini-2025-04-16,CDPK_Nyankore_ep_science,Nyankore,True,Science,2370.5345454000926,12.744809383871466,OpenAI
qwen-3-32b,CDPK_Nyankore_ep_science,Nyankore,True,Science,2944.0120845999772,15.828021960214931,Alibaba
claude-sonnet-4-5-20250929,CDPK_Nyankore_science,Nyankore,False,Science,2143.654526799961,11.525024337634198,Anthropic
fw-deepseek-r1-0528,CDPK_Nyankore_science,Nyankore,False,Science,3608.2462821999507,19.399173560214788,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Nyankore_science,Nyankore,False,Science,316.34458419992006,1.7007773344081725,Google
gemini-3-flash-preview,CDPK_Nyankore_science,Nyankore,False,Science,2106.2057801000483,11.323686989785205,Google
gemini-3-pro-preview,CDPK_Nyankore_science,Nyankore,False,Science,4522.810041599958,24.31618301935461,Google
gemma-3-27b,CDPK_Nyankore_science,Nyankore,False,Science,5022.258174700051,27.00138803602178,Google
gemma-3-4b-it,CDPK_Nyankore_science,Nyankore,False,Science,7910.809017199921,42.53123127526839,Google
gpt-5.2-2025-12-11-medium,CDPK_Nyankore_science,Nyankore,False,Science,1025.0111288999906,5.510812520967692,OpenAI
o4-mini-2025-04-16,CDPK_Nyankore_science,Nyankore,False,Science,2842.8245961999637,15.284003205376148,OpenAI
qwen-3-32b,CDPK_Nyankore_science,Nyankore,False,Science,8321.095395099954,44.73707201666642,Alibaba
claude-sonnet-4-5-20250929,CDPK_Swahili_ep_science,Swahili,True,Science,1387.871240600245,7.461673336560457,Anthropic
fw-deepseek-r1-0528,CDPK_Swahili_ep_science,Swahili,True,Science,3118.9748339995276,16.768681903223268,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Swahili_ep_science,Swahili,True,Science,126.97458650101908,0.68265906720978,Google
gemini-3-flash-preview,CDPK_Swahili_ep_science,Swahili,True,Science,2631.358208999969,14.147087145161125,Google
gemini-3-pro-preview,CDPK_Swahili_ep_science,Swahili,True,Science,2972.8513485001167,15.98307176612966,Google
gemma-3-27b,CDPK_Swahili_ep_science,Swahili,True,Science,207.39041490014642,1.1150022306459486,Google
gemma-3-4b-it,CDPK_Swahili_ep_science,Swahili,True,Science,110.8141888002865,0.5957752086036908,Google
gpt-5.2-2025-12-11-medium,CDPK_Swahili_ep_science,Swahili,True,Science,564.6835112001863,3.03593285591498,OpenAI
o4-mini-2025-04-16,CDPK_Swahili_ep_science,Swahili,True,Science,1391.9525794999208,7.483616018816779,OpenAI
qwen-3-32b,CDPK_Swahili_ep_science,Swahili,True,Science,2130.3395676019136,11.45343853549416,Alibaba
claude-sonnet-4-5-20250929,CDPK_Swahili_science,Swahili,False,Science,1645.4112924009096,8.846297270972633,Anthropic
fw-deepseek-r1-0528,CDPK_Swahili_science,Swahili,False,Science,11082.983839701628,59.58593462205177,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Swahili_science,Swahili,False,Science,149.6603304001037,0.804625432258622,Google
gemini-3-flash-preview,CDPK_Swahili_science,Swahili,False,Science,8836.054112800091,47.50566727311877,Google
gemini-3-pro-preview,CDPK_Swahili_science,Swahili,False,Science,2854.6604802000056,15.347636990322611,Google
gemma-3-27b,CDPK_Swahili_science,Swahili,False,Science,585.2216581001412,3.1463530005383937,Google
gemma-3-4b-it,CDPK_Swahili_science,Swahili,False,Science,136.49525109725073,0.7338454360067244,Google
gpt-5.2-2025-12-11-medium,CDPK_Swahili_science,Swahili,False,Science,610.9671819000068,3.2847697951613273,OpenAI
o4-mini-2025-04-16,CDPK_Swahili_science,Swahili,False,Science,1194.5591048016213,6.42236077850334,OpenAI
qwen-3-32b,CDPK_Swahili_science,Swahili,False,Science,2757.586785899708,14.825735408062947,Alibaba
claude-sonnet-4-5-20250929,CDPK_Yoruba_ep_science,Yoruba,True,Science,1113.6670592993032,5.98745730806077,Anthropic
fw-deepseek-r1-0528,CDPK_Yoruba_ep_science,Yoruba,True,Science,1673.4973386002239,8.997297519356042,DeepSeek-AI
gemini-2.5-flash-lite-preview-09-2025,CDPK_Yoruba_ep_science,Yoruba,True,Science,136.65329969953746,0.7346951596749326,Google
gemini-3-flash-preview,CDPK_Yoruba_ep_science,Yoruba,True,Science,2895.8323012000164,15.568990866666756,Google
gemini-3-pro-preview,CDPK_Yoruba_ep_science,Yoruba,True,Science,2990.0936247998616,16.075772176343342,Google
gemma-3-27b,CDPK_Yoruba_ep_science,Yoruba,True,Science,317.1739770984277,1.7052364360130523,Google
gemma-3-4b-it,CDPK_Yoruba_ep_science,Yoruba,True,Science,122.32835860014893,0.6576793473126287,Google
gpt-5.2-2025-12-11-medium,CDPK_Yoruba_ep_science,Yoruba,True,Science,850.1529675002676,4.570714879033696,OpenAI
o4-mini-2025-04-16,CDPK_Yoruba_ep_science,Yoruba,True,Science,1872.4892284004018,10.067146389249471,OpenAI
qwen-3-32b,CDPK_Yoruba_ep_science,Yoruba,True,Science,2708.9092094006483,14.564028007530366,Alibaba
claude-sonnet-4-5-20250929,CDPK_Yoruba_science,Yoruba,False,Science,2259.1734771016054,12.146093962911857,Anthropic
fw-deepseek-r1-0528,CDPK_Yoruba_science,Yoruba,False,Science,14124.984478500206,75.94077676613014,DeepSeek-AI
