answers,resps,success
D,"Ekibuuzo B kubanga kyetaaga okukola ekunoonyereza ku mpinduka eziringa mu butonde (day–night cycle), nga kireeta abayizi okukulaakulanya obusobozi bw’okwawula, okulaba obunene n’ebbugumu mu ngeri y’obulamu bw’ensi.",True
A,C,True
D,D. __Omutima gukola omusaayi ogugenda mu buli kitundu ky'omubiri.__,True
C,C. Okuteebereza ebinaavaamu,True
A,Obuwewufu,True
D,Kiki mu bintu bino kye kijja kuba eky’okulabirako ky’enkyukakyuka ya gase okumala okufuuka amazzi (condensation)?,True
B,Okutabika,True
C,"Mu kitundu kya “Planeti Yange,” omusomesa ayagala okunnyonnyola abaana ebintu ebikola obudde. Ku bintu bino, kiki ky’alina okutwala mu nnyonyonnyola ye?",True
A,Lwaki ennyanja ekunta mu mbeere y’empewo ezikunta?,True
B,Emigga gy’amazzi.,True
D,"D. Clownfish n’ettooki y’ennyanja biyambagana; ettooki lirinda clownfish ku bbugumu n’abalala, ate clownfish liyamba ettooki mu kukung’aanya ebyokulya ne kusigaza empisa ya tentacle.",True
D,B,True
A,C,True
B,Kiki mu bifo bino kyekola phagocytosis mu bujjasi obw’omuzaaliranwa?,True
D,D. Kebera eggrafu eraga enkyukakyuka mu busukali bw’omusaayi oluvannyuma lw’okulya emmere erimu kabohayidureeti okusobola okulaga enkolagana wakati w’okumulisa emmere n’obwetaavu bw’amaselo.,True
B,D. Obujjanjabi bw’ekizimbamubiri butta obuwuka obuleeta obulwadde n’obuwuka obugasa omubiri.,True
D,D,True
A,B,True
C,A,True
B,Noonyereza ku ngeri omulamwa gwa plate tectonics gye gwazimbibwa.,True
D,B,True
A,A,True
D,B,True
D,C,True
C,C,True
D,"D. Gerageranya ebikula ebirina obutonde bw’emu mu ngeri ez’enjawulo, gamba ng’ekiwawaatiro ky’ennyanguyirizi n’ekiwaawaatiro ky’ekinyira.",True
A,A,True
B,Ekikula ky’ekimera B kikula mangu okusingawo kubanga ekitangaala kya bbululu kiyinza okukwatibwa obulungi obuwandanyi bwa kkirolofiili okusinga ekitangaala kya kiragala.,True
C,A,True
B,"Mu nsonda z’okukola essomo ku nkola y’endokriini y’omubiri, ekitegeddekebwa okusooka okusobola okutegeera enziggannyizo za homeostasi kye kiki?  
____________________________________________________________________________",True
B,"Nnyonnyola enkola y’obusinzi bw’eby’ennunga okuva mu hypothalamus okutuuka ku pituitary n’emu ovaries mu kulanga sex hormones, era ogamba enkyukakyuka ki mu mubiri gw’omukazi singa okuteekebwa eddagala erizibuza GnRH?",True
B,A,True
D,Vvuunula ebigezo ebiraga nti DNA ye molekyu etisse amawulire g’obusika.,True
C,A,True
A,A. Okukubiriza okutabanguka mu birowoozo n'okukubiriza enkyukakyuka mu ntegeera y'abayizi,True
B,"Gerageranya engeri ebifaananyi gye bikolebwamu mu ndabirwamu enkovu ne mu lenti enkovu ng’okozesa emisingi gy’ebyobusirikale bw’ekitangaala, okuyita mu ndowooza y’obutundutundu bw’ekitangaala.",True
C,"Buuza abayizi okugeraageranya, nga bakozesa obufaananyi n’enjawulo, endagiriro za Ptolemy ne Copernicus okunyonyola Ensi Enjuba gy’etooloola.",True
C,"Obubuzo:  
Mu bubiri bubiri, muli graduated cylinder 50 mL ne pipette ya 10 mL. Mu kukebera omuwendo gwa 10 mL mu cylinder okwanguya n’okubeera obunyikivu, mukola kitya okusoma menisu obulungi?  
A. Laba ennyo ku mulingo gwa menisu mu ntikko, osobole okutunula wansi  
B. Gya cylinder ku mutindo ogw’obululu  
C. Wunyisa cylinder mu bintu ebyiinzavu  
D. Saanukirizza nannunga bubble mu nsuka  

Enkuta y’ekyanulo: A",True
C,C,True
B,B,True
D,"Ddala: Mu lupapula, teekawo timeline ey’emu n’emu emirimu gyab’aasayansi Torricelli, von Guericke, Papin, Savery, Newcomen ne Watt mu kuzimba empompa ezikola omukka, ne woonyonnyole lwaki buli kimu kyali kya mukulu mu kutegeera engeri y’okuyiwa kw’amazzi.",True
C,A,True
B,D,True
C,A,True
B,B. Kola omulimu okuzuula emisinde omubiri gwe gwaagwa nagwo nga teguumiriddwa era ogerageranye ebyo by’ofunye n’ebyo ebyali biteeberezebwa.,True
