answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"
C",True,2.161413799971342,1673,3,
A,D,True,0.9906979000661522,1862,2,
D,C,True,0.9331200001761317,1711,2,
C,C,True,1.337999900104478,1768,2,
A,B,True,1.9157623001374304,1661,2,
D,D,True,1.267731900094077,1672,2,
B,"
C",True,8.21573320007883,1597,3,
C,"
D",True,2.255644799908623,1653,3,0.0
A,D,True,1.3380178001243621,1684,2,
B,"
C",True,1.1540878999512643,1682,3,
D,"
A",True,1.531799599993974,1812,3,0.0
D,B,True,1.1723109998274595,1638,2,
A,"
B",True,2.001547900028527,1814,3,
B,"
C",True,1.133675100049004,1709,3,
D,"
C",True,3.9791411999613047,2006,3,0.0
B,: A,True,2.202874699840322,1695,3,
D,"
B",True,1.5453551998361945,1716,3,0.0
A,D,True,1.2991706000175327,1785,2,
C,: D,True,1.348164499970153,1749,3,
B,"
D",True,1.9431461999192834,1794,3,0.0
D,"
1- 4",True,1.2338033001869917,1865,6,
A,: A,True,1.4216878998558968,1642,3,
D,A,True,1.0735239000059664,1916,2,
D,A,True,0.42934400006197393,1917,2,
C,"
D",True,1.9473443999886513,1800,3,0.0
D,: A,True,1.0653633000329137,1801,3,
A,D,True,1.0885203999932855,1798,2,
B,"
B",True,0.9319492999929935,2007,3,
C,"
D",True,1.4579814998432994,1730,3,0.0
B,"
D",True,0.8528996999375522,1697,3,
B,"
C",True,2.059101900085807,1818,3,0.0
B,"
B",True,1.7520816000178456,1780,3,
D,"
D",True,2.0532029001042247,1792,3,
C,A,True,11.770890400046483,1828,2,
A,"
C",True,1.9460241999477148,1851,3,
B,C,True,1.0348012000322342,1977,2,
C,"
A",True,1.698502500075847,1904,3,0.0
C,"
C",True,3.471551999915391,1732,3,0.0
C,"
D",True,1.173121500061825,2009,3,
B,B,True,0.9229953999165446,1880,2,
D,"
C",True,1.7452182997949421,2382,3,
C,"
C",True,2.417653900105506,1712,3,0.0
B,"
B",True,8.802935199812055,1701,3,
C,"
A",True,2.0473732999525964,1877,3,0.0
B,C,True,1.649627499980852,1916,2,
C,"
C",True,8.478317899862304,1804,3,0.0
C,A,True,1.610223799943924,1810,2,
C,"
B",True,2.3154679001308978,1968,3,0.0
A,C,True,1.1836878000758588,1675,2,
C,A,True,4.020764600019902,1661,2,
C,D,True,1.052250700071454,1649,2,
A,B,True,1.748385600047186,1754,2,
C,C,True,1.1256885000038892,1791,2,
B,"
B",True,1.8541256999596953,1880,3,
C,"
B",True,1.7905627998989075,1763,3,0.0
C,C,True,1.3119643998797983,1876,2,
B,"
D",True,2.4169000999536365,1866,3,0.0
C,"
D",True,1.3292638000566512,1731,3,
A,C,True,1.5597251001745462,1643,2,
A,A,True,1.3477607001550496,1752,2,
D,"
D",True,0.8076030001975596,1704,3,
D,B,True,0.8346467998344451,1786,2,
C,A,True,2.1780817001126707,1965,2,
C,"
C",True,1.7316714997868985,1887,3,
B,"
D",True,1.4426100999116898,1712,3,0.0
B,"
B",True,1.4674684000201523,1725,3,0.0
A,"
B",True,1.202520300168544,1942,3,
B,"
A",True,1.000535300001502,1683,3,
B,B,True,1.4972228999249637,1924,2,
C,A,True,1.0747670999262482,1883,2,
C,"
A",True,2.5925310999155045,1879,3,0.0
B,"
D",True,2.5411056999582797,1810,3,0.0
C,"
D",True,2.5045684000942856,1876,3,
B,"
C",True,3.9208796001039445,1990,3,
C,B,True,1.0366810001432896,1884,2,
C,A,True,0.8883293000981212,1794,2,
D,"
B",True,0.9833052000030875,1692,3,
D,D,True,2.183839099947363,1851,2,
C,"
D",True,0.9694588000420481,1989,3,
A,"
A",True,7.610025600064546,1950,3,
A,"
D",True,1.6943638001102954,1833,3,0.0
D,C,True,0.8891096999868751,1949,2,
D,D,True,1.2190683998633176,1679,2,
A,"
A",True,2.7295288001187146,1839,3,0.0
C,"
B",True,1.4408100000582635,1699,3,
C,C,True,0.9972598999738693,1771,2,
C,"
C",True,2.583103299839422,1867,3,0.0
D,C,True,1.1416591999586672,1788,2,
B,"
B",True,1.7739045999478549,1730,3,0.0
C,"
C",True,1.7807251000776887,1946,3,0.0
C,"
C",True,2.156546799931675,1839,3,
B,"
B",True,0.8779472000896931,2110,3,
D,"
A",True,2.4451988998334855,2178,3,0.0
A,"
D",True,1.752741500036791,1686,3,0.0
D,B,True,1.235768800135702,1885,2,
D,"
D",True,3.1652476999443024,1660,3,0.0
D,C,True,1.4695403999648988,1787,2,
B,B,True,1.1852557000238448,2028,2,
D,C,True,1.9850272999610752,1836,2,
B,"
B",True,0.9735746001824737,1961,3,
A,C,True,0.521744400030002,1816,2,
A,"
D",True,1.9649208998307586,1849,3,
A,"
A",True,1.737811699975282,1929,3,0.0
C,B,True,1.801337799988687,1773,2,
B,A,True,1.1378381999675184,1894,2,
B,"
D",True,4.059126500040293,1806,3,
A,C,True,1.0687188999727368,1800,2,
D,D,True,0.7750178999267519,1949,2,
D,C,True,0.6857819999568164,1985,2,
A,"
B",True,2.3041234998963773,1718,3,0.0
B,C,True,3.4661387999076396,1712,2,
