answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,3.7882370999941486,2029,1,709
A,A,True,3.6843215999979293,1906,1,609
D,D,True,5.710496300001978,2475,1,1005
D,B,True,4.975461900001392,2204,1,850
B,C,True,4.816956400005438,2147,1,800
D,D,True,5.44829700000264,2320,1,951
B,B,True,3.0660854000016116,1845,1,545
D,D,True,4.742008200002601,2359,1,866
B,D,True,7.36497159999999,2985,1,1292
B,B,True,4.597332500001357,2124,1,816
C,C,True,6.0981922000064515,2766,1,1146
C,C,True,4.180774100001145,2209,1,775
A,A,True,6.181870899999922,2648,1,1145
C,A,True,5.650485000005574,2388,1,976
C,B,True,4.60940500000288,1999,1,693
A,A,True,4.388681300006283,1967,1,661
D,D,True,3.5039848999949754,2285,1,724
B,B,True,4.774008499996853,2141,1,806
A,B,True,5.531237100003636,2693,1,1130
A,B,True,7.199682099999336,3104,1,1387
D,A,True,4.181477899997844,2028,1,708
B,C,True,10.171408200003498,2997,1,1726
D,D,True,3.482589300001564,2018,1,634
C,B,True,7.098576600001252,3016,1,1356
D,B,True,5.502594500001578,2648,1,1064
C,B,True,6.039809300003981,2867,1,1203
B,D,True,6.797602400001779,2649,1,1275
C,B,True,5.087173499996425,2322,1,867
A,A,True,4.216928699999698,2028,1,708
A,A,True,4.096141000001808,2029,1,709
B,D,True,6.070126699996763,2732,1,1148
D,D,True,5.781197100004647,2471,1,973
C,A,True,4.15764350000245,2028,1,708
A,A,True,4.979585499997484,2474,1,833
C,D,True,4.88463739999861,2253,1,858
C,C,True,6.628074699998251,2947,1,1249
B,B,True,6.13093860000663,2393,1,1041
A,C,True,3.929144300003827,1916,1,614
