answers,resps,success
D,"<think>
Hmm, wannan aikin yana da tambayoyi masu zaɓi guda huɗu tare da amsoshinsu. Ina buƙatar amsa kowane tambaya daidai kuma in ba da harafin amsar kawai.

Na farko, tambaya ta farko tana magana ne game da manufar koyo: ""Sadar da wasu muhimman halaye na abubuwan halitta da suka bincika, kamar launuka, laushi, girma, zafi, da sauransu."" Ina buƙatar gano wane aiki na yara zai nuna an cimma wannan manufa.

Zaɓuɓɓuka sun haɗa da:
A. Santiago yana zana duwatsu masu girma daban-daban
B. Pablo yana kallon cokali kuma yana cewa ""Duba, Pablo!"" yayin da yake ganin hoton fuskarsa
C. Maryamu tana tattara ganyen bishiyoyi iri-iri
D. Soledad tana murza iri kuma tana cewa ""Mai kaifi""

Manufar ita ce sadarwa game da halayen abubuwan halitta. Aikin da zai nuna fahimtar halayen kamar launi, laushi, girma, ko zafi. Daga cikin zaɓuɓɓukan, D yana nuna Soledad tana gano halayen iri (mai kaifi) ta hanyar taɓawa, wanda ke da alaƙa da sadarwar halayen abubuwan halitta. Sauran ba su daidai sosai: A zane ne kawai, B game da farkon fahimtar kai, C tattara ganye ba tare da tantance halaye ba. Don haka amsar ita ce D.

Tambaya ta biyu tana magana ne game da manufar ""Gano gabobin azanci da aikinsu."" Malamar tana amfani da 'ya'yan itatuwa don gwada ji. Ina buƙatar zaɓi wane aiki zai taimaka ɗalibai su cimma wannan manufa.

Zaɓuɓɓuka:
A. Yi alama ga amsoshin tambayoyi game da halayen 'ya'yan itatuwa ta amfani da ji
B. Rarraba 'ya'yan itatuwa bisa ga ma'aunai masu alaƙa da ji
C. Yi alama ga azanci da aka yi amfani da su don gane halaye
D. Rina amsoshin tambayoyi game da ji tare da hotuna

Manufar ita ce gano gabobin ji da aikinsu, ba kawai amfani da su ba. Zaɓi na C yana tattare da gano wace azanci aka yi amfani da shi don gane kowane hali, wanda zai taimaka wajen gano gabobin ji da aikinsu. Sauran ba su daidai da manufar: A da B sun fi mayar da hankali kan halayen 'ya'yan itatuwa, D yana nuna ji amma ba gano gabobin ji ba. Don haka amsar ita ce C.

Tambaya ta uku tana magana ne game da raba gauraye da tantance ingancin sakamakon bincike. Malamar tana da gauraye da ruwa, duwatsu, mai, da gishiri. Ina buƙatar zaɓi wane aiki zai bai wa ɗalibai damar koyo game da dabarun raba gauraye da tantance inganci.

Zaɓuɓɓuka:
A. Tantance wace dabara ta fi dacewa sannan bayar da hujja
B. Biyu-biyu su raba gaurayen da dabarun da suka dace, sannan tantance har zuwa wane mataki hakan ya yiwu
C. Saukowa da ra'ayoyin baya, bayyana hanyar gama-gari, sannan aiwatar
D. Bin tsarin da malami ya nuna, sannan gano wace hanyar aka yi amfani da ita

Zaɓi na B yana ba da damar ɗalibai su gwada dabarun raba gauraye da kansu, sannan su tantance iyawar hanyoyin, wanda ke haɓaka ƙwarewar tantance ingancin sakamakon bincike. Sauran ba su da wannan 'yancin kai ko tantancewa: A yana neman zaɓi kawai ba gwadawa ba, C yana da shawarwari amma ba aiwatar da su ba tukuna, D yana bin tsarin kawai. Don haka amsar ita ce B.

Tambaya ta huɗu tana magana ne game da tasirin zagaye na yau da kullum. Malamin yana fara sashi kan wannan batu. Ina buƙatar zaɓi tambaya da za ta ba shi damar gabatar da abin da za a yi aiki da shi.

Zaɓuɓɓuka:
A. Me ya sa rana ke faɗuwa da yamma?
B. Me ya sa kwanaki suke gajeru a lokacin hunturu?
C. Don gine ginen rana me yasa mutane ke bin al'ada?
D. Me ya sa kake ganin yawancin mutane ke barci da daddare?

Tambaya mai dacewa da tasirin zagaye na yau da kullum dole ne ta shafi canje-canjen yanayi na yau da kullum kamar tsawon rana ko dare. Zaɓi na B yana magana ne game da gajerun kwanaki a lokacin hunturu, wanda ke da alaƙa da juyin rana da tasirinsa akan yanayi. Sauran ba su da alaƙa kai tsaye: A game da faɗuwar rana wanda ba canji na yau da kullum ba ne, C game da al'ada, D game da barci amma ba tasirin zagaye ba. Don haka amsar ita ce B.

Yanzu, kamar yadda aka umarta, zan ba da amsoshin kawai a matsayin haruffa:
D
C
B
B
</think>
D  
C  
B  
B",True
A,"<think>
Hmm, wannan tambaya ce ta ilimi game da kimiyyar halitta da koyo a makarantar firamare. Ina bukatar in ga ko yara sun fahimci manufar koyo ta hanyar ayyukan da suka yi. Tambayar ta farko tana neman ayyukan da ke nuna cewa yara sun fahimci halayen abubuwa kamar launi, laushi, girma, da zafi.

Ga zabin A: Santiago yana zana duwatsu masu girma daban-daban. Wannan yana nuna fahimtar girma, amma ba sauran halaye ba.

Zabin B: Pablo yana gani a cikin cokali kuma yana cewa ""Duba, Pablo!"" Wannan yana nuna fahimtar hoto, amma ba halayen abubuwa ba ne.

Zabin C: Maryamu tana tattara ganyen bishiyoyi iri-iri. Wannan yana nuna rarrabuwa, amma ba a tantance halayen su ba.

Zabin D: Soledad ta murza iri ta ce ""Mai kaifi"". Wannan yana nuna fahimtar yanayin iri (mai kaifi), wanda ke nuna halayen abubuwa.

Don haka D shine mafi kyau, yana nuna tantance halayen abubuwa ta hanyar ji.

Tambaya ta biyu game da gabobin ji. Manufar ita ce gano gabobin azanci da aikinsu. Malamar ta ba da 'ya'yan itace don su shaka, kalla, taɓa, da ɗanɗana.

Zabin A: Tambayoyi game da halayen 'ya'yan itace da azanci. Wannan yana da alaƙa, amma ba ya nuna gabobin da ke aiki.

Zabin B: Rarraba 'ya'yan itace bisa halaye. Wannan yana amfani da azanci, amma baya nuna gabobin musamman.

Zabin C: Tambayoyi game da wane azanci ne ya gane halaye. Wannan yana nuna alaƙar halayen da gabobin ji. Misali, ""da wace azanci ka gane ayaba rawaya ce?"" (gani), ""pear yana da daɗi?"" (ɗanɗano), da sauransu. Wannan yana nuna fahimtar gabobin ji da aikinsu.

Zabin D: Tambayoyi game da jin daɗi ko baƙin ciki. Wannan ba shi da alaƙa da gabobin ji.

Don haka C shine mafi kyau.

Tambaya ta uku game da raba gauraye. Manufar ita ce tattauna hanyoyin raba gauraye da tantance ingancin sakamako.

Zabin A: Tantance dabara mafi dacewa da bayar da hujja. Wannan yana da kyau, amma ba ya ba da damar gwaji.

Zabin B: Biyu-biyu su gwada raba gauraye da tantance matakan nasara. Wannan yana ba da damar gwaji da tantance sakamako, yana haɓaka ƙwarewar bincike.

Zabin C: Bayar da ra'ayi kuma aiwatar da hanyar gama-gari. Wannan ba shi da ƙwarin gwiwa ga bincike.

Zabin D: Bin tsarin malami. Wannan ba haɓaka ƙwarewar bincike ba ne.

Don haka B shine mafi kyau.

Tambaya ta huɗu game da bishiyoyin 'ya'yan itace da yanayi. Manufar ita ce bayyana abin da ke faruwa da bishiyoyin 'ya'yan itace a lokutan shekara.

Zabin A: Zana bishiya a yanayi biyu. Wannan yana nuna fahimtar canje-canje.

Zabin B: Rarraba hotunan bishiyoyi zuwa masu 'ya'ya da marasa. Wannan ba shi da alaƙa da yanayi.

Zabin C: Yin launi ga zane-zanen bishiyoyi a lokutan da suka dace. Wannan yana nuna fahimtar lokutan shekara.

Zabin D: Haɗa bishiyoyi da 'ya'yan itacensu. Wannan ba shi da alaƙa da yanayi.

Don haka A ko C sun dace, amma A yana ba yara damar zana abin da suka fahimta, yayin da C kawai yana nuna launi. A yana da alaƙa da fahimta.

Amma tambayar ta ce ""bayyana abin da ke faruwa gaba ɗaya"", wanda ke nufin tsarin duka. Zana bishiya a yanayi biyu zai iya nuna canjin yanayi, yayin da yin launi kawai ba zai nuna fahimtar tsarin ba. Don haka A ya fi dacewa.

Amsoshin su ne D, C, B, A.
</think>
D  
C  
B  
A",True
D,"<think>
Hmm, wannan set na tambayoyi ne na ilimin kimiyya da koyarwa. Ina bukata in fahimci kowace tambaya da zaɓin da ke cikinta, sannan in zaɓi amsar da ta fi dacewa bisa manufofin koyo.

Na farko, tambaya ta farko tana magana ne akan manufar koyo game da gano halayen abubuwa ta hanyar ji. Daga cikin zaɓuɓɓukan, (D) ya nuna Soledad tana jin laushi da kaifi ta hannu, wanda ke nuna amfani da azancin taɓawa don gane halayen. Wannan ya dace da manufar.

Na biyu, tambaya ta biyu tana magana akan gano gabobin ji da aikinsu. Zaɓin (C) yana neman ɗalibai su danganta kowane azanci da halayen da suka gano, kamar ta yaya suka san launi da ido. Wannan ya fi dacewa wajen nuna aikin kowane azanci.

Na uku, tambaya ta uku tana magana akan raba gauraye da kimanta ingancin sakamako. Zaɓin (B) yana ba ɗalibai damar gwada dabarun rabawa da kuma tantance iyakokinsu, wanda ke haɓaka ƙwarewar bincike.

Na huɗu, tambaya ta huɗu tana neman kuskuren fahimta game da zuciya. Daga cikin zaɓuɓɓukan, (B) yana nuna ra'ayin kuskure cewa zuciya girmanta kamar dunkulalliya, alhali hakika ta fi haka girma. Sauran zaɓuɓɓukan sun nuna fahimtar da ta dace.

Don haka, amsoshin su ne:
1. D
2. C
3. B
4. B
</think>
D  
C  
B  
B",True
C,"<think>
Hmm, wannan tambaya ce ta ilimi game da koyo a makarantar gandun daji. Ina bukatan in fahimci tambayoyin da aka gabatar da su da kuma zaɓin amsoshin su.

Na farko, tambaya ta farko tana neman ayyukan da zai nuna cewa an cimma manufar koyo ta ""sadar da wasu muhimman halaye na abubuwan halitta"". Daga cikin zaɓuɓɓuka, zaɓin D yana nuna Soledad tana murza iri tana cewa ""mai kaifi"", wanda ke nuna fahimtar halayen taɓa (tactile). Wannan ya dace da manufar.

Tambaya ta biyu tana magana ne game da gano gabobin azanci da aikinsu. Zaɓin C yana nuna yin alama ga azanci da ake amfani da su wajen gane halayen 'ya'yan itatuwa, wanda ya dace da manufar.

Tambaya ta uku tana magana ne game da raba gauraye. Zaɓin B yana ba da damar ɗalibai su gwada dabarun rabawa da kansu kuma su tantance sakamakon, wanda ke haɓaka ƙwarewar bincike.

Tambaya ta huɗu tana neman fasahar tunani da tambayar malamar ke ƙarfafawa. Tambayar ""me zai faru"" tana ƙarfafa tsara hasashe (hypothesis) kafin gwaji.

Bayan nazari, zan ba da amsoshin da suka dace:
1. D
2. C
3. B
4. C
</think>
D  
C  
B  
C",True
A,"<think>
Hmm, user ya aiko da tambayoyi masu zaɗi guda uku da ke da alaƙa da ilimin kimiyya a makarantar firamare. Tambayoyin sun shafi tantance ayyukan da suka dace da manufofin koyo na bincike. Ina buƙatar nazari kowanne su da kyau.

Na farko, tambaya ta farko tana neman ayyukan da zai nuna cewa yara sun fahimci halayen abubuwa kamar launi, santsi, da girma. Zaɓin D ya fi dacewa saboda Soledad tana amfani da azancinta (ji) don gane siffar iri, wanda ke nuna fahimtar halayen ta hanyar ji.

Tambaya ta biyu ta shafi gabobin ji. Zaɓin C ya fi dacewa saboda yana tattara bayanai daga dukkan azanci (gani, ji, ɗanɗano, sansana) kuma yana haɗa kowane azanci da aikin sa ta hanyar tambayoyi.

Tambaya ta uku tana magana ne game da raba cakudar. Zaɓin B ya fi dacewa saboda yana ba yara damar gwada dabarun rabawa da kuma tantance iyakokinsu, wanda ke haɓaka ƙwarewar kimantawa.

Amsa ta huɗu tana neman siffar abubuwa da aka nuna a gwajin ruwa, mai, da glycerin. Sakamakon ya nuna rabe-raben nauyi (density separation), don haka amsa ita ce D.

Na lura cewa user yana da ƙwarewa a cikin ilimin kimiyya na firamare kuma yana neman amsoshi masu ma'ana. Tambayoyin suna da kyau kuma suna nuna alaƙa da manufofin koyo na bincike. Zan ba da amsoshi a cikin tsari mai sauƙi kamar yadda ya nema.
</think>
Bisa ga bayanin da aka bayar, amsoshin tambayoyin masu zaɗi sune kamar haka:

1. **Tambaya ta farko (Manufar koyo: Sadar da halayen abubuwan halitta):**  
   **D** - Ayyukan Soledad na gane siffar iri ta hannu (ji) kuma ta bayyana shi da ""mai kaifi"" yana nuna fahimtar halayen abubuwa ta hanyar amfani da azanci (ji). Wannan ya dace da manufar sadarwa ta hanyar gano halaye.

2. **Tambaya ta biyu (Manufar koyo: Gano gabobin azanci da aikinsu):**  
   **C** - Aikin da ke neman ɗalibai su haɗa kowane gabobin azanci (gani, ji, ɗanɗano, sansana) da halayen da suka gano (kamar launi, ɗanɗano, santsi, ƙamshi) yana nuna fahimtar aikinsu. Wannan ya dace da manufar gano gabobin ji da aikinsu.

3. **Tambaya ta uku (Manufar koyo: Koyo game da dabarun raba gauraye da tantance ingancin sakamako):**  
   **B** - Aikin da ke ba ɗalibai damar gwada dabarun rabawa da kansu, sannan tantance iyakokinsu, yana haɓaka ƙwarewar bincike da kimantawa. Wannan ya dace da manufar haɓaka ƙwarewar tantance ingancin sakamakon bincike.

4. **Tambaya ta huɗu (Siffar abubuwa a gwajin ruwa, mai, da glycerin):**  
   **D** - Rabe-raben nauyi (Density separation) shine abin da gwajin ya nuna, inda abubuwa suka rabu bisa ga nauyinsu (mai da glycerin suna sama, ruwa yana ƙasa).

### Amsoshi a tsari:
D  
C  
B  
D",True
D,"<think>
Hmm, wannan set na tambayoyi ne na ilimin kimiyya da koyo a makarantar firamare. Ina bukata in fahimci kowace tambaya da zaɓi, in gano mafi kyawun amsa bisa ga manufofin koyo da aka bayyana.

Na farko tambaya tana magana ne akan manufar koyo game da gano halayen abubuwa ta hanyar ji. Manufar ita ce yara su iya sadar da halaye kamar launi, laushi, girma, da zafi. Ina neman aikin da zai nuna cewa an cimma wannan manufa.

Zaɓin A: Santiago yana zana duwatsu masu girma daban-daban. Wannan yana nuna girma, amma baya nuna sauran halaye.

Zaɓin B: Pablo yana ganin hotonsa a cikin cokali kuma ya ce ""Duba, Pablo!"" Wannan yana nuna fahimtar hoto, amma ba halayen abu ba.

Zaɓin C: Maryamu tana tattara ganyen bishiyoyi iri-iri. Wannan yana nuna bambancin iri, amma ba ta nuna takamaiman halaye ba.

Zaɓin D: Soledad ta murza wasu iri ta ce ""Mai kaifi"". Wannan yana nuna halayen taɓawa (mai kaifi) da kuma yana amfani da ji (taɓawa) don gane wannan halayen. Wannan ya dace da manufar koyo.

Tambaya ta biyu tana magana ne akan gabobin ji da aikinsu. Malamar tana amfani da 'ya'yan itace don koya wa yara gabobin ji. Ina neman aikin da zai taimaka wa yara su gane gabobin ji da yadda ake amfani da su.

Zaɓin A: Yana neman yara su yi alama ga amsoshin tambayoyi da suka danganci halayen 'ya'yan itace. Wannan yana da alaƙa da gabobin ji.

Zaɓin B: Yana neman rarrabuwa bisa halaye da aka gane ta gabobin ji. Wannan kuma yana da alaƙa.

Zaɓin C: Yana neman yara su yi alama ga azanci da suka gane halayen. Wannan yana mai da hankali kan gabobin ji da aikinsu.

Zaɓin D: Yana neman yara su rina amsoshi bisa jin daɗi ko baƙin ciki. Wannan ba shi da alaƙa kai tsaye da gabobin ji.

Tambaya ta uku tana magana ne akan raba gauraye da tantance ingancin sakamako. Manufar ita ce haɓaka ƙwarewar tantance ingancin binciken kimiyya.

Zaɓin A: Tantance mafi kyawun dabara da bayar da hujja. Wannan yana haɓaka ƙwarewar tantancewa.

Zaɓin B: Rabawa biyu-biyu da tantance matakin yiwuwar rabuwa. Wannan yana ba da damar gwaji da tantance sakamako.

Zaɓin C: Bayar da ra'ayi da aiwatar da hanyar gama-gari. Wannan ba shi da tantance ingancin sakamako.

Zaɓin D: Bin tsarin malami da gano hanyar rabawa. Wannan ba haɓaka ƙwarewar tantancewa ba.

Tambaya ta huɗu tana neman misali na takaitawa (condensation) a cikin sake zagayowar ruwa.

Zaɓin A: Faduwar dusar ƙanƙara - wannan deposition ne (gas zuwa solid).

Zaɓin B: Canjin ƙanƙara zuwa tururi - wannan evaporation ne (solid zuwa gas).

Zaɓin C: Sanyin ruwan teku zuwa ƙanƙara - wannan freezing ne (liquid zuwa solid).

Zaɓin D: Jikewar duwatsu da ke fuskantar tururin geyser - wannan takaitawa ne (gas zuwa liquid) saboda tururi yana takaitawa a kan duwatsu.

Don haka, amsoshin su ne:
1. D
2. C
3. B
4. D
</think>
D  
C  
B  
D",True
B,"<think>
Hmm, wannan set na tambayoyi ne na ilimin kimiyya da kuma ilimin halayyar ɗalibi a makarantar firamare. Ina buƙatar amsa kowace tambaya daidai bisa ga abin da aka nuna a cikin kodayake.

Na farko tambaya tana magana ne akan manufar koyo game da gano halayen abubuwa ta hanyar ji. Daga cikin zaɓuɓɓuka, Soledad (D) tana nuna amfani da dandano da ji don gane irin (mai kaifi), wanda ya dace da manufar.

Tambaya ta biyu tana magana ne akan gabobin ji. Zaɓin da ya dace shine (C) saboda yana neman ɗalibai su haɗa kowane azanci da aikin sa ta hanyar amsa tambayoyi.

Tambaya ta uku game da raba gauraye. Aikin da zai bai wa ɗalibai damar tantance ingancin sakamako shine (B), inda suke gwada dabarun da suka dace da kuma tantance iyakar su.

Tambaya ta huɗu game da sauyin yanayi. Hoton yana nuna daskararre zuwa gas, wanda shine sublimation, don haka amsa ita ce (B).

Zan ba da amsoshi a matsayin haruffa kawai kamar yadda aka umarta.
</think>
D  
C  
B  
B",True
C,"<think>
Hmm, wannan set na tambayoyi ne na ilimin kimiyya da kuma ilimin halitta ga yara makaranta. Ina bukata in taimaka wa mai amfani da amsoshin da suka dace bisa ga ka'idojin ilimi. Tambayoyin suna neman neman fahimtar manufofin koyo da kuma dabaru masu dacewa.

Na farko, tambaya ta farko tana magana ne akan manufar koyo game da gano halayen abubuwa ta hanyar ji. Daga cikin zaɓuɓɓuka, zaɓin D (Soledad ta murza wasu iri ta ce ""mai kaifi"") ya nuna fahimtar halayen ta hanyar taɓawa, wanda ya dace da manufar.

Tambaya ta biyu tana magana ne akan gabobin ji. Zaɓin C ya fi dacewa saboda yana neman yara su danganta kowane ji da halayen da suka gano, maimakon kawai gane halayen (kamar yadda A ke yi) ko rarraba su (kamar B).

A tambaya ta uku game da raba gauraye, zaɓin B ya ba da damar yara su gwada dabarun kansu kuma su tantance sakamakon, wanda ya dace da haɓaka ƙwarewar bincike.

Tambaya ta huɗu tana magana ne akan abubuwan da ke haifar da yanayi. Amsa mafi dacewa ita ce B (iska, lokutan shekara, da yanayin zafi) saboda waɗannan su ne tushen yanayi.

Zan ba da amsoshin a cikin tsarin da ake bukata: harafi kawai a karshe kowace tambaya.
</think>
D  
C  
B  
B",True
A,"<think>
Hmm, wannan tambaya ce ta ilimi game da koyarwa a makarantar gandun daji. Ina bukatar in ga ko yara sun fahimci manufar koyo ta hanyar ayyukan da suka yi. Tambayar ta farko tana neman ayyukan da ke nuna cewa yara sun fahimci halayen abubuwa kamar launi, laushi, girma, da zafi.

Ga zaɓuɓɓuka:
A. Santiago yana zana duwatsu masu girma daban-daban - wannan yana nuna fahimtar girma, amma ba sauran halaye ba.
B. Pablo yana ganin hotonsa a cikin cokali kuma yana ce ""Duba, Pablo!"" - wannan yana nuna fahimtar hoto, ba halayen abubuwa ba.
C. Maryamu tana tattara ganyen bishiyoyi iri-iri - wannan yana nuna rarrabuwa, amma ba ta nuna tantance halaye ba.
D. Soledad ta murza iri ta ce ""Mai kaifi"" - wannan yana nuna fahimtar yanayin iri (kaifi), wanda shine ɗaya daga cikin halayen da aka ambata.

Don haka amsar ita ce D, saboda yana nuna tantance halayen abubuwa ta hanyar ji.

Tambaya ta biyu game da gabobin azanci. Malamar tana so yara su gano gabobin azanci da aikinsu ta hanyar amfani da 'ya'yan itace.

Zaɓuɓɓuka:
A. Yi alama ga amsoshin tambayoyi game da halayen 'ya'yan itace - wannan yana mai da hankali ne kawai akan halayen, ba gabobin azanci ba.
B. Rarraba 'ya'yan itatuwan bisa ga halaye - kuma ba ta haɗa da gabobin azanci.
C. Yi alama ga amsoshin tambayoyi game da wane azanci ake amfani da shi wajen gane halaye - wannan yana nuna alaƙar tsakanin gabobin azanci da halayen abubuwa.
D. Rina amsoshi game da ko abu ya yi dadi ko ba haka ba - wannan yana nuna ra'ayi, ba ainihin aikin gabobin azanci ba.

Don haka amsar ita ce C, saboda tana taimaka wa yara su haɗa gabobin azanci da halayen da suke gano.

Tambaya ta uku game da raba gauraye. Malamar tana neman yara su koyi dabarun raba gauraye da tantance ingancin sakamako.

Zaɓuɓɓuka:
A. Tantance wace dabara ta fi dacewa kuma bayar da hujja - wannan yana da kyau, amma ba ta ba da damar gwaji ba.
B. Biyu-biyu su gwada raba gauraye da tantance matakin nasara - wannan yana ba da damar yin gwaji da tantance sakamako.
C. Bayyana ra'ayi kuma aiwatar da hanyar gama-gari - wannan yana da kyau, amma ba ta tantance ingancin sakamako ba.
D. Bi tsarin da malami ya nuna - wannan ba bincike ba ne, kuma ba ta haɓaka ƙwarewar tantancewa ba.

Don haka amsar ita ce B, saboda tana ba yara damar yin gwaji da tantance sakamakon.

Tambaya ta huɗu game da dalilin raƙuman ruwa. Yaro ya tambayi dalilin raƙuman ruwa a teku.

Zaɓuɓɓuka:
A. Iskan
B. Ƙarfin jan hankali na Wata
C. Bambance-bambancen zafin sararin samaniya
D. Canjin yanayin zafin teku

Amsar gaskiya ita ce B, Ƙarfin jan hankali na Wata, saboda wannan shine babban dalilin raƙuman ruwan teku.

Zan ba da amsoshi a matsayin haruffa kawai: D, C, B, B.
</think>
D  
C  
B  
B",True
B,"<think>
Hmm, wannan set na tambayoyi ne na ilimin kimiyya da kuma ilimin halittu ga yara. Ina bukata in duba kowace tambaya da kyau, in fahimci abin da ake nema, sannan in zaɓi amsar da ta fi dacewa bisa ga manufofin koyo da aka bayyana.

Na farko tambaya tana magana ne akan manufar koyo game da gano halayen abubuwa masu rai. Dole ne in ga wane aiki zai nuna cewa yaro ya fahimci halayen kamar launi, laushi, da sauransu. Zaɓin D yana nuna Soledad tana murza iri tana cewa ""mai kaifi"" - wannan yana nuna ta gane halayen iri ta hanyar taɓawa, wanda shi ne ainihin manufar. Sauran zaɓuɓɓukan ba su da alaƙa kai tsaye da gane halayen ta hanyar azanci.

Tambaya ta biyu tana magana ne akan gabobin ji da aikinsu. Manufar ita ce gano gabobin azanci da yadda ake amfani da su. Zaɓin C yana nuna yaro yana amsa tambayoyi game da yadda azancinsa ke gane halayen 'ya'yan itace - misali, da wace azanci ya gane launi, daɗi, da sauransu. Wannan yafi dacewa da manufar fiye da sauran zaɓuɓɓukan da suka fi mayar da hankali kan halayen kawai ba hanyoyin gano su ba.

Na uku tambaya tana magana ne akan raba gauraye da kimanta ingancin sakamako. Zaɓin B yana ba ɗalibai damar gwada dabarun rabawa da kansu sannan su kimanta sakamakon, wanda zai haɓaka ƙwarewarsu ta bincike. Sauran zaɓuɓɓukan ba su ba da wannan 'yancin gwada da kimantawa ba.

Tambaya ta huɗu tana magana ne akan karkatar da duniya da tasirinta. Bidiyon mai motsi yana nuna karkata da ke haifar da bambancin hasken rana a sassan duniya. Wannan shi ne ainihin dalilin lokutan shekara, don haka amsar ita ce B - Lokutan shekara. Sauran zaɓuɓɓukan ba su da alaƙa da wannan bayanin.

Bisa ga wannan bincike na, zan ba da amsoshi a matsayin haruffa kawai kamar yadda aka umarta.
</think>
D  
C  
B  
B",True
