answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,1.2805695999995805,1040,2,0
D,C,True,1.0255830999958562,1083,2,0
C,A,True,1.3869341999961762,1151,2,0
C,C,True,1.0076427000021795,1102,2,0
B,C,True,1.0589747999983956,1137,2,0
B,B,True,1.0176092999972752,1091,2,0
C,B,True,0.5227259999956004,1123,2,0
D,B,True,1.1526012999966042,1106,2,0
C,B,True,1.0095426999978372,1359,2,0
B,A,True,0.5705784000019776,1232,2,0
A,A,True,1.0382603000034578,1148,2,0
C,A,True,0.5221122000002651,1214,2,0
B,B,True,0.5790879999985918,1139,2,0
B,B,True,0.5109453999975813,1439,2,0
B,D,True,0.5306855000017094,1472,2,0
C,B,True,0.5298026999953436,1298,2,0
A,A,True,1.0098161999994772,1212,2,0
B,C,True,0.5482684999951744,1118,2,0
A,A,True,0.673552699998254,1189,2,0
B,B,True,0.5334462999962852,1212,2,0
B,C,True,1.075579700001981,1280,2,0
B,B,True,0.5023799000045983,1192,2,0
C,C,True,0.46963400000095135,1209,2,0
D,B,True,1.121669699998165,1391,2,0
D,D,True,0.5574457999973674,1232,2,0
D,D,True,0.5403912000037963,1324,2,0
B,B,True,0.5008354999954463,1316,2,0
B,A,True,0.4943557000005967,1252,2,0
A,A,True,0.48193190000165487,1058,2,0
A,C,True,0.6672034000002895,1241,2,0
A,A,True,0.5312429000041448,1238,2,0
C,A,True,1.0099354999983916,1522,2,0
A,A,True,0.49498920000041835,1556,2,0
B,A,True,0.993423799998709,1242,2,0
C,B,True,0.5882774999990943,1338,2,0
C,B,True,0.5127139000032912,1299,2,0
B,B,True,0.5225074999980279,1526,2,0
C,A,True,0.4812025999999605,1206,2,0
A,B,True,0.5931545000057667,1126,2,0
C,C,True,0.4936758000039845,1012,2,0
